Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Url_diskografija,Song_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Featuring_discogs,All_albums_discogs
0,hluW+yB/_1_0,Divlje Jagode,Divlje Jagode,Autostop,17046,"Lutam cijeli dan 
rubom autostrade
I cekam da mi neko stane
Prolaze kraj mene
Ne vidi me niko, 
dal zbog kose il' gitare
 
Znoj mi se cijedi 
niz lice i tijelo
Ja dizem ruku stani, 
Stoj

Zasto niko nece, 
nece da me primi
Uprljacu im auto

Autostop, autostop, autostop....

Umor vec polako sklapa mi oci
Kad neko mi svira i koci
Otvara mi vrata vozac kamiona
I kaze da mogu s njim poci

To je covjek pravi, nudi mi cigare
Zali se da drustvo mu fali
Put ce biti dug, on dodaje gas
Stari vuk na autostradi","https://tekstovi.net/2,2,2397.html",,,,,,,https://lyricstranslate.com/en/translator/%D0%B4%D0%B5%D0%BD%D0%B8%D1%81-%D0%B7%D0%B0%D0%B5%D0%B2,['Sead Lipovača Zele'],['G. Petranović'],['Sead Lipovača Zele'],['Divlje Jagode'],1981 - Stakleni hotel,"2004 - The very best of, let na drugi svijet",2006 - Collection,https://diskografija.com/pjesma/autostop-9319.htm,Autostop,,,,,,"Lutam cijeli dan rubom autostrade
I čekam da mi neko stane
Prolaze kraj mene, ne vidi me niko
Dal' zbog kose il' gitare.

Znoj mi se cijedi s lica i tijela
Ja dižem ruku: Stani! Stoj!
Zašto niko neće, neće da me primi
Istrgat' ću im auto.

Autostop,autostop,autostop
Autostop,autostop,autostop

Autostop,autostop,autostop
Autostop,autostop,autostop

Umor već polako sklapa mi oči
A neko mi svira i koči
Otvara mi vrata vozač kamiona
Kaže da mogu s njim poći.

To je čovjek pravi, nudi mi cigare
Žali se da društvo mu fali
Put će biti dug, on dodaje gas
Starimo na autostradi",Autostop,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/autostop.html,Divlje Jagode,Autostop,,Stakleni Hotel,,Goran Petranović,,,nan-Stakleni Hotel/nan-Antologija 1/nan-The Very Best Of/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2008.0-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 1
1,hluW+yB/_1_1,Divlje Jagode,Divlje Jagode,Bice bolje,24556,"Imao sam losa iskustva
s djevojkama svim 
razlog tome u sebi vidim sad

Bio sam i previse dobar
bas uvijek fin, neiskusan 
naivan i mlad
 
I mada sam 
mnogo grijesio
sve za redom 
prokockao sanse

Ref.
Ja jos uvijek imam volje
i vjerujem bice bolje
ja jos uvijek imam volje
bice bolje, bice bolje","https://tekstovi.net/2,2,14165.html",,,,,,,,,,,,,,,,,,,,,,"Imao sam loša iskustva
s djevojkama svim
razliku u tome u sebi vidim sad

Bio sam i previše dobar
baš uvijek fin, neiskusan
naivan i mlad

I mada sam
mnogo griješio
sve za redom
prokockao šanse

Ja još uvijek imam volje
i vjerujem bit će bolje
ja još uvijek imam volje
bit će bolje, bit će bolje",Bit će bolje,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/bit-ce-bolje.html,Divlje Jagode,Biće Bolje,,Nemam Ništa Protiv / Bit' Će Bolje!,1979.0,,,,1979.0-Nemam Ništa Protiv / Bit' Će Bolje!
2,hluW+yB/_1_2,Divlje Jagode,Divlje Jagode,Bubi,19870,"Dobro vece ljepotice
vidim da si sama
imas strasne traperice
zavodljiva si dama

Izgledas mi kao model
muskog seksi magazina
zoves li se Mirela
ili mozda Tina
 
Ref. 2x
Bubi, zoves li se Bubi
bas si seksi Bubi
moj tip si ti

Good night honey
i see that you're alone
you've got fancy pants
you're such a sexy lady

Pa eto, vidis Bubi
ja sam Jugo faca
nisam Francuz niti Englez
al' ipak sam dasa

Ref. 2x
Bubi, zvat' cu te Bubi
bas si seksi Bubi
moj tip si ti

Bubi, zvat' cu te Bubi
slatka mala Bubi
uzbudjujes me ti","https://tekstovi.net/2,2,3.html",,,,,,,,,,,['Divlje Jagode'],,,,https://diskografija.com/pjesma/bubi-9985.htm,Bubi,,,,,,"Dobra veče ljepotice
Vidim da si sama
Imaš strašne traperice
Zavodljiva si dama

Izgledaš mi kao model
Muškog seksi magazina
Zoveš li se Mirela
Ili možda Tina

Bubi, zoveš li se Bubi
Baš si seksi Bubi
Moj tip si ti.

Good night honey
I see that you're alone
You've got fancy pants
You're such a sexy lady

Pa eto vidiš Bubi
Ja sam jugo faca
Nisam francuz niti englez
Al ipak sam dasa

Bubi, zvat ću te Bubi
Baš si seksi Bubi
Moj tip si ti.
Bubi, zvat ću te Bubi
Baš si seksi Bubi
Uzbuduješ me ti.",Bubi,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/bubi.html,Divlje Jagode,Bubi,,Divlje Jagode,,,,,nan-Divlje Jagode/nan-Collection/2018.0-Original Album Collection Vol. 1
3,hluW+yB/_1_3,Divlje Jagode,Divlje Jagode,Carobnjaci,14226,"Sa tobom druguju 
Iz romana stari znanci 
Vitezi, lupezi 
Aska, vuk i Indijanci 

Ti imas bracu Grimm 
I njihove strasne carolije 
Ma sta ce ti vracevi 
Abrakadabra, magije  
Carobnjaci 
Carobnjaci bas su to 
 
Ti nisi blesav, glup 
Neces cuda iz sesira 
Vise te privlace 
Ti heroji od papira 

Stapicem carobnim 
Neka lazu druge maze 
Al' tebe ne mogu 
Tvoji te junaci paze","https://tekstovi.net/2,2,4.html",,,,,,,,['Sead Lipovača Zele'],['Alen Islamović'],['Sead Lipovača Zele'],['Divlje Jagode'],1983 - Čarobnjaci,2006 - Collection,,https://diskografija.com/pjesma/carobnjaci-10004.htm,Čarobnjaci,,,,,,"Sa tobom druguju
Iz romana stari znanci
Vitezi, lupezi
Aska, vuk i Indijanci

Ti imaš braću Grimm
I njihove strašne carolije
Ma šta će ti vračevi
Abrakadabra, magije
Čarobnjaci
Čarobnjaci baš su to

Ti nisi blesav, glup
Nećeš čuda iz šešira
Viče te privlaće
Ti heroji od papira

Štapićem čarobnim
Neka lažu druge maze
Al' tebe ne mogu
Tvoji te junaci paze",Čarobnjaci,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/carobnjaci.html,Divlje Jagode,Čarobnjaci,4:10,Čarobnjaci,,,,,nan-Čarobnjaci/nan-The Very Best Of/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 1
4,hluW+yB/_1_4,Divlje Jagode,Divlje Jagode,Cekam da sunce zadje,15055,"Vec dugo cekam zalazak Sunca
da podjem tebi na bijelome konju
da te vidim njeznu i lijepu
u vrtu ruza, na mojim grudima

Tvoje usne kao secer
zelim ljubit' sve do jutra
a onda zbogom kazat' cu ti
i nikad vise necu doci","https://tekstovi.net/2,2,5.html",,,,,,,,,,,,,,,,,,,,,,"Već dugo čekam zalazak sunca
Da pođem tebi na bijelome konju
Da te vidim nježnu i lijepu
U vrtu ruža na mojim grudima

Tvoje usne kao šečer
Želim ljubit sve do jutra
A onda zbogom kazat ću ti
I nikad više neću doći",Čekam da sunce zađe,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/cekam-da-sunce-zadje.html,Divlje Jagode,Čekam Da Sunce Zađe,,Divlje Jagode,,,,,nan-Divlje Jagode
5,hluW+yB/_1_5,Divlje Jagode,Divlje Jagode,Ciganka,22328,"Dusa trazi ljubav ili noz
Dok daljine njen su tajni zov
Ludo srce njena zla je kob 
Drum joj kuca,a nebesa krov

Ooo ciganko
Ooo ciganko
Ooo ciganko
Ooo ciganko

Gad vilenjak zavodi je put
A za buru srce samo zna 
Krv na usni,a u kosi cvijet
Crne ruze i noci bez sna
","https://tekstovi.net/2,2,4301.html",,Ciganka,Gypsy girl,Vatra (1985),"Duša traži ljubav ili nož
1
Dok daljine njen su tajni zov
Ludo srce njena zla je kob
Drum joj kuća, a nebesa krov.. Ooo, ciganko
Ooo, ciganko
Ooo, ciganko .... Gad vilenjak zavodi je put
A za buru srca same zna
Krv na usni, a u kosi cvijet
Crne ruže i noći bez sna.","A soul wants love or a knife
While distance secretly calls her,
A crazy heart is her evil fate
Road is her house, sky is her roof. Heeey, gypsy girl
Heeey, gypsy girl
Heeey, gypsy girl.... The road, an elf bastard, entices her
And her heart only knows for tempest
Blood on a lip, a flower in the hair
Black roses and sleepless nights",https://lyricstranslate.com/en/ciganka-gypsy-girl.html,['Sead Lipovača Zele'],['Slobodan Đurasović'],['Sead Lipovača Zele'],['Divlje Jagode'],1985 - Vatra,"2004 - The very best of, let na drugi svijet",2006 - Collection,https://diskografija.com/pjesma/ciganka-9314.htm,Ciganka,,,,,,"Duša traži ljubav ili nož
Dok daljine njen su tajni zov
Ludo srce njena zla je kob
Drum joj kuća, a nebesa krov.

Ooo, ciganko
Ooo, ciganko
Ooo, ciganko ...

Kćo vilenjak zavodi je put
A za buru srca same zna
Krv na usni, a u kosi cvijet
Crne ruže i noći bez sna.",Ciganka,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/ciganka.html,Divlje Jagode,Ciganka,,Vatra,,Slobodan Đurasović,,,"nan-Vatra/nan-Najbolje/nan-Antologija 1/nan-Sarajevo, Ti I Ja/nan-The Very Best Of/2004.0-The Very Best Of - Let Na Drugi Svijet/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/2008.0-The Ultimate Collection/2018.0-Original Album Collection Vol. 1"
6,hluW+yB/_1_6,Divlje Jagode,Divlje Jagode,Cmokni me srce ,19679,"Lutkice, pozuri, kasnis vec 
Krevet, znaj, 
u devet mora biti tvoj 
Kraj..za..uz neku knjigu laganu 
Tijelo svoje do mile volje 
Kasno je. 
 
Cmokni me, srce 
Pasce brijeg ledeni 
Cmokni me, srce 
Nismo vise medeni. 

Lutkice, imas samo 
minut-dva (pa da) 
Popravi kosu, 
skini noc sa dzempera 
Provjeri kljuc svoj, 
do vrata ne, ne vuci me 
Ko Petar Pan odleticu 
Kasno je. 

Cmokni me, srce 
Pasce brijeg ledeni 
Cmokni me, srce 
Nismo vise medeni. 

Ajde malo, srce 
Pasce brijeg ledeni 
Daj malo, srce 
Nismo vise medeni.","https://tekstovi.net/2,2,4813.html",,Cmokni me srce,"Kiss me, my dear",Vatra,"Lutkice, požuri, kasniš već
1
Krevet, znaj, u devet mora biti tvoj
Kraj tihog šopena uz neku knjigu laganu
Tjeraj svoje do mile volje
Kasno je.. Cmokni me, srce
Pašće brijeg ledeni
Cmokni me, srce
Nismo više medeni.. Lutkice, imas samo minut-dva (pa da)
Popravi kosu, skini noć sa džempera
Provjeri kljuć svoj, do vrata ne, ne vuci me
Ko Petar Pan odletiću
Kasno je.. Ajde malo, srce
Pašće brijeg ledeni
Daj malo, srce
Nismo više medeni.","Hurry up doll, you're already late
you have to be in bed by nine
alongs side chopin playing quietly, while reading a book
insist on having your way to your heart's content
it's too late. Kiss me, my dear
a cold wave will hit
kiss me, my dear
we're not sweet anymore. Doll, you just have a minute or two (oh yes)
fix your hair, shake the night off your sweater
check your key, don't, don't drag me to your door
I'll fly away like Peter Pan
it's too late. Just a little, my dear
a cold wave will hit
give me a little, my dear
we're not sweet anymore",https://lyricstranslate.com/en/cmokni-me-srce-kiss-me-my-dear.html,['Sead Lipovača Zele'],['Alen Islamović'],['Sead Lipovača Zele'],['Divlje Jagode'],1985 - Vatra,2006 - Collection,,https://diskografija.com/pjesma/cmokni-me-srce-10011.htm,Cmokni me srce,,,,,,"Lutkice, požuri, kasniš već
Krevet, znaj, u devet mora biti tvoj
Kraj ... za ... uz neku knjigu laganu
Tijelo svoje do mile volje
Kasno je.

Cmokni me, srce
Pašće brijeg ledeni
Cmokni me, srce
Nismo više medeni.

Lutkice, imas samo minut-dva (pa da)
Popravi kosu, skini noć sa džempera
Provjeri kljuć svoj, do vrata ne, ne vuci me
Ko Petar Pan odletiću
Kasno je.

Ajde malo, srce
Pašće brijeg ledeni
Daj malo, srce
Nismo više medeni.","Cmokni me, srce",https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/cmokni-me-srce.html,Divlje Jagode,Cmokni Me Srce,,The Very Best Of - Let Na Drugi Svijet,2004.0,,,,2004.0-The Very Best Of - Let Na Drugi Svijet/2018.0-Original Album Collection Vol. 1
7,hluW+yB/_1_7,Divlje Jagode,Divlje Jagode,Da li si ikada mene voljela,42196,"Kada dodje s brijegova
miris ranih snijegova
meni na um padnes ti
pa se pitam sta nam bi
eh sta nam bi od ljubavi

Da li ti se ikada 
suza za mnom omakla
nepozvanog u svom snu
nadjes li me koji put
 
Ref.
I da li si ikada mene voljela
da li si ikada mene voljela

Mozda nas je zavela
igra bijelih pahulja
kunem prste sudbine
jer sve osta pitanje

Ref.
","https://tekstovi.net/2,2,6582.html",,Da li si ikada mene voljela,Have you ever loved me?,,"Kada dođe s brjegova,
1
miris ranih snjegova,
meni na um padneš ti.
Pa se pitam šta nam bi,
eh, šta nam bi od ljubavi.. Da li ti se ikada
suza za mnom omakla,
nepozvanog u svom snu
nađeš li me koji put.. I da li si ikada mene voljela,
da li si ikada mene voljela.. Možda nas je zavela
igra bijelih pahulja,
kunem prste sudbine,
jer sve osta pitanje.","When from the hills come
Scent of early snows
I think of you
And ask myself ""What happened with us""
Oh,what happened to us from love. Did you ever spill a tear for me?
Uninvited in your dream
Do you find me sometimes?. Have you ever loved me?
Have you ever loved me?. Maybe we got seduced
by the dancing,white snow flakes
And I swear the fingers of destiny
Because everything a question remained",https://lyricstranslate.com/en/da-li-si-ikada-mene-voljela-have-you-ever-loved-me.html,,,,['Divlje Jagode'],,,,https://diskografija.com/pjesma/da-li-si-ikada-mene-voljela-10037.htm,Da li si ikada mene voljela,,,,,,"Kada dodje s brijegova
miris ranih snijegova
meni na um padnes ti
pa se pitam sta nam bi
eh sta nam bi od ljubavi

Da li ti se ikada
suza za mnom omakla
nepozvanog u svom snu
nadjes li me koji put

I da li si ikada mene voljela
da li si ikada mene voljela

Mozda nas je zavela
igra bijelih pahulja
kunem prste sudbine
jer sve osta pitanje",Da li si ikada mene voljela,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/da-li-si-ikada-mene-voljela.html,Divlje Jagode,Da Li Si Ikada Mene Voljela,,Labude Kad Rata Ne Bude ,,,,,nan-Labude Kad Rata Ne Bude /nan-Collection/2018.0-Original Album Collection Vol. 2
8,hluW+yB/_1_8,Divlje Jagode,Divlje Jagode,Dinamit,6661,"Kao grom si ti, opasna po zivot
ni div, ni kralj, s' tobom ne bi na kraj
tvoja rijec, topovska je paljba
da li znas, da sijeces kao sablja

Ref.
Dinamit
bas si dinamit
dinamit
ti si mi sve
ti si mi sve
 
Ne igras fer, kao pas i macka
ti radis sve, samo iz inata
cuvaj se, organi su jos strogi
mogla bi, opeci se po nogi

Ref. 2x","https://tekstovi.net/2,2,29931.html",,Dinamit,Dynamite,Vatra,"Kao grom si ti, opasna po život
1
Ni div ni kralj s tobom ne bi na kraj
Tvoja riječ topovska je paljba
Da li znaš da sijećeš kao sablja.. Dinamit
Baš si dinamit
Dinamit
Ti si mi sve
Ti si mi sve.. Ne baš fer, kao pas i mačka
Ti radiš sve samo iz inata
Čuvaj se, organi su još strogi
Mogla bi, opeći se k'o mnogi.. Dinamit
Baš si dinamit
Dinamit
Ti si mi sve
Ti si mi sve.","You're like a thunder, dangerous for life
Neither giant nor king could cope with you
Your word is gunfire
Do you know that you cut like a saber?. Dynamite
You're such a dynamite
Dynamite
You are my everything
You are my everything. You're not so fair, like a dog and a cat
You do everything just because of spite
Watch yourself, organs are still strict
You could burn yourself just like many others. Dynamite
You're such a dynamite
Dynamite
You are my everything
You are my everything",https://lyricstranslate.com/en/dinamit-dynamite.html-0,['Sead Lipovača Zele'],['Alen Islamović'],['Sead Lipovača Zele'],['Divlje Jagode'],1985 - Vatra,2006 - Collection,,https://diskografija.com/pjesma/dinamit-10010.htm,Dinamit,,,,,,"Kao grom si ti, opasna po život
Ni div ni kralj s tobom ne bi na kraj
Tvoja riječ topovska je paljba
Da li znaš, sijećeš kao sablja.

Dinamit
Baš si dinamit
Dinamit
Ti si mi sve
Ti si mi sve.

Ne baš fer, kao pas i mačka
Ti radiš sve samo iz inata
Čuvaj se, organi su još strogi
Mogla bi se opeći po nogi.",Dinamit,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/dinamit.html,Divlje Jagode,Dinamit,,Vatra,,,,,nan-Vatra/nan-Collection/2018.0-Original Album Collection Vol. 1
9,hluW+yB/_1_9,Divlje Jagode,Divlje Jagode,Divljakuso,11753,"Miluje nas noc sat po sat
uz pernat jastuk i mlak kamilice caj
kao andjeo iz raja si
mirises na snijeg u planini

Ref. 2x
Stegnimo se sad, divljakuso
ne treba za nas uspavanka
Ooo, divljakuso
Ooo, divljakuso
Ooo, divljakuso
Ooo, divljakuso
Ooo

Osjecam tvoj dah na usnama
dok lazni zvijezde sjaj nestaje
tonemo do dna, ti mamis me
kao dalek jug bez vjetrova

Ref.","https://tekstovi.net/2,2,29929.html",,Divljakuša,Wild girl,Vatra,"Miluje nas noć sat po sat
1
Uz pernat jastuk i mlak kamilice čaj
Kao anđeo iz raja si
Mirišeš na snijeg u planini.. Stegnimo se sad, divljakušo
Ne treba za nas uspavanka.
Ooo, divljakušo
Ooo, divljakušo
Ooo, divljakušo
Ooo, divljakušo","The night is caressing us hour by hour
With a feather pillow i half-warm camomile tea
Your like an angel form heaven
You smell like snow in the mountains. Let's bound ourselves together
We don't need a lullaby
Ooo, wild girl
Ooo, wild girl
Ooo, wild girl
Ooo, wild girl",https://lyricstranslate.com/en/divljakusa-wild-girl.html,['Sead Lipovača Zele'],['Alen Islamović'],['Sead Lipovača Zele'],['Divlje Jagode'],1985 - Vatra,2006 - Collection,,https://diskografija.com/pjesma/divljakusa-10009.htm,Divljakuša,,,,,,,,,,,,,,,,,
10,hluW+yB/_1_10,Divlje Jagode,Divlje Jagode,Divlje jagode,33990,"U malom vrtu raste divlji plod
u tom plodu sjeme cudesno
neka ruka sjeme posija
i jagode Sunce obasja

Ref.
Divlje jagode, divlje jagode

Tiho rastu divlje jagode
tek nesto rose prati njihov put
sve prolazi, a mi ne bi htjeli
jos divljeg dok ima u nama

Ref.","https://tekstovi.net/2,2,6.html",,Divlje jagode,Wild strawberries,,"U malom vrtu raste divlji plod
1
U tom plodu sjeme čudesno
Neka ruka sjeme posija
Pet jagoda sunce obasja. Divlje jagode, divlje jagode ...
Divlje jagode, divlje jagode .... Tiho rastu divlje jagode
Tek nešto vode prati njihov put
Sve prolazi a mi ne bi htjeli
Još divljega dok ima u nama","Wild fruit grows in a little garden
that fruit contains miraculous seeds
someone's hand is sowing seeds
the sun is illuminating five strawberries. Wild strawberries, wild strawberries...
wild strawberries, wild strawberries.... The wild strawberries are growing quietly
just a bit of water is flowing towards them
everything's passing, but we cannot
while there's still something wild within us",https://lyricstranslate.com/en/divlje-jagode-wild-strawberries.html,['Sead Lipovača Zele'],['Sead Lipovača Zele'],['Sead Lipovača Zele'],['Divlje Jagode'],1988 - Konji,"2004 - The very best of, let na drugi svijet",2006 - Collection,https://diskografija.com/pjesma/divlje-jagode-9312.htm,Divlje jagode,,,,,,"U malom vrtu raste divlji plod
U tom plodu sjeme čudesno
Neka ruka sjeme posija
Pet jagoda sunce obasja

Divlje jagode, divlje jagode ...
Divlje jagode, divlje jagode ...

Tiho rastu divlje jagode
Tek nešto vode prati njihov put
Sve prolazi a mi ne bi htjeli
Još divljega dok ima u nama",Divlje jagode,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/divlje-jagode.html,Divlje Jagode,Divlje Jagode,,Divlje Jagode,,Sead Lipovača,,,"nan-Divlje Jagode/nan-Konji/nan-Antologija 1/nan-Sarajevo, Ti I Ja/2004.0-The Very Best Of - Let Na Drugi Svijet/2004.0-Live + video clips/nan-The Very Best Of - Let Na Drugi Svijet/2006.0-Collection/nan-Collection/nan-Collection/2008.0-The Ultimate Collection/nan-The Ultimate Collection/nan-Greatest Hits/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 2"
11,hluW+yB/_1_11,Divlje Jagode,Divlje Jagode,Divlji zapad,10877,"Strah na cesti   
zabranjena zona  
New York to je   
dzungla od betona  

Nocne zvijerke   
s lancem oko tijela  
zakon stavlja   
iza vrata   
 
Ref.
Samo zive sjenke od papira  
i rock 'n' roll jos se svira  
Ref. 2x
To je Divlji Zapad 
tamo necu nikad

Sve zbog sminke 
polomljenog stakla 
naocale nosi 
panker iz inata 

Nocu bruje
celicni motori 
a laka zena 
za dolar se voli 

Ref.
Ref. 11x","https://tekstovi.net/2,2,18.html",,Divlji Zapad,Wild West,Motori,"Strah na cesti
1
Zabranjena zona
New York to je
Džungla od betona. Noćne zvijerke
S lancem oko tijela
Zakon stavlja
Iza vrata. Samo žive sjenke od papira
I Rock n Roll još se svira
sada još molim te
Tamo neću nikad. Sve zbog šminke
Polomljenog stakla
Naočale nosi
Panker iz inata. Noću cvile
Ćelicni motori
A laka žena
Za dolar se voli. Samo žive sjenke od papira
I Rock n Roll još se svira. To je Divlji Zapad
Tamo neću nikad...","Fear on the road
Forbidden area
New York, it's
Jungle of concrete. Nightly beast
With the chain around the body
Puts the law
Behind the gate. Just living shades of paper
I Rock 'n' Roll still playing
Yet, please
I'll never go there. All about makeup
Broken glass
Wearing glasses
Punk out of spite. At night whining
Steel motors
And easy woman
Love for dollar. Just living shades of paper
I Rock 'n' Roll still playing. It's the Wild West
I'll never go there",https://lyricstranslate.com/en/divlji-zapad-wild-west.html,,,,['Divlje Jagode'],1982 - Motori,2006 - Collection,,https://diskografija.com/pjesma/divlji-zapad-10000.htm,Divlji zapad,,,,,,"Strah na cesti
Zabranjena zona
New York to je
Dzungla od betona

Nocne zvijerke
S lancem oko tijela
Zakon stavlja
Iza vrata

Samo zive sjenke od papira
I Rock 'n' Roll jos se svira
sada jos molim te
Tamo necu nikad

Sve zbog sminke
Polomljenog stakla
Naocale nosi
Panker iz inata

Nocu cvile
celicni motori
A laka zena
Za dolar se voli

Samo zive sjenke od papira
I Rock 'n' Roll jos se svira

To je Divlji Zapad
Tamo necu nikad...",Divlji zapad,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/divlji-zapad.html,Divlje Jagode,Divlji Zapad,4:10,Motori,,,,,nan-Motori/nan-Collection/2018.0-Original Album Collection Vol. 1
12,hluW+yB/_1_12,Divlje Jagode,Divlje Jagode,Djavolji grad,12497,"Dolazim iz raja  
U nepoznat grad 
Umoran za nazad 
Napusten ko gad 

A mjere me sjenke 
Bas je strasno to 
Vrebaju me usne 
Ma kojim ljubim zlo 
 
Vodi me,vodi me noci sad 
Sakrij me, sakrij me bilo gdje 

Dolazim sam 
U djavolji grad 

Ljubavnici noci 
Ko zvijeri padaju 
I andjeli pakla 
Oko mene su 

Nemani me njuse 
Suzava se krug 
Nikog ovdje nemam 
Da mi bude drug ","https://tekstovi.net/2,2,19.html",,Đavolji grad,Devil's town,Čarobnjaci (1984),"Dolazim iz raja
1
U nepoznat grad
Umoran za nazad
Napušten ko gad. A mjere me sjenke
Baš je strašno to
Vrebaju me usne
Ma kojim ljubim zlo. Vodi me, vodi me noći sad
Sakrij me, sakrij me bilo gdje. Dolazim sam
U đavolji grad. Ljubavnici noći
Ko zvijeri padaju
I anđeli pakla
Oko mene su. Nemani me njuše
Sužava se krug
Nikog ovdje nemam
Da mi bude drug","I'm coming from heaven
To an unknown city
Too tired to go back
Abandoned like a bastard. And shadows are watching me
It's so horrible
Lips are creeping me
Lips which I kiss the evil with. Lead me, lead me now, night
Hide me, hide me anywhere. I'm coming alone
To a devil's town. Night's lovers
Are falling like beasts
And hell's angels
Are surrounding me. Monsters are smelling me
The circle is tapering
There is no one
Who can be my friend",https://lyricstranslate.com/en/djavolji-grad-devils-town.html,['Sead Lipovača Zele'],['Sead Lipovača Zele'],['Sead Lipovača Zele'],['Divlje Jagode'],1983 - Čarobnjaci,2006 - Collection,2013 - Biodinamička ljubav,https://diskografija.com/pjesma/davolji-grad-10003.htm,Đavolji grad,,,,,,"Dolazim iz raja
U nepoznat grad
Umoran za nazad
Napušten ko gad

A mjere me sjenke
Baš je strašno to
Vrebaju me usne
Ma kojim ljubim zlo

Vodi me, vodi me noći sad
Sakrij me, sakrij me bilo gdje

Dolazim sam
U đavolji grad

Ljubavnici noći
Ko zvijeri padaju
I anđeli pakla
Oko mene su

Nemani me njuše
Sužava se krug
Nikog ovdje nemam
Da mi bude drug",Đavolji grad,https://cuspajz.com//tekstovi-pjesama/pjesma/divlje-jagode/djavolji-grad.html,Divlje Jagode,Đavolji Grad,3:19,Čarobnjaci,,,,,nan-Čarobnjaci/nan-Collection/nan-Biodinamička Ljubav/2018.0-Original Album Collection Vol. 1/2018.0-Original Album Collection Vol. 2
