Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Url_diskografija,Song_diskografija,Album_1_diskografija,Album_2_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Featuring_discogs,All_albums_discogs
0,r01Z81Es_1_0,Vinko Coce,Vinko Coce,A ca san ti bidan ucinija,6837,"Cini mi se da sam ostarija
otkad me za tebe vise nima
kraj tvoje san kuce prolazija
pa mi srce uvatila zima

Iza skura stajala si lipa 
kosa ti se rasula ka more
e da tvoja ljubav nije slipa
ti bi moje ukrasila dvore
 
Ref.
A ca san ti bidan ucinija
lipa moja, naliplja na svitu
ja te nikad ne bi' ostavija
jedini moj iz djardina cvitu

Iza skura stajala si lipa 
kosa ti se rasula ka more
e da tvoja ljubav nije slipa
ti bi moje ukrasila dvore

Ref. 2x

Jedini moj iz djardina cvitu
","https://tekstovi.net/2,972,19757.html",,,,,,,,['Željko Barba'],['Mira Karavidović Kokanović'],['Željko Nikolin'],['Vinko Coce'],https://diskografija.com/pjesma/a-ca-san-ti-bidan-ucinija-10072.htm,A ća san ti bidan učinija,,,,,,,,,,,,,,,,,
1,r01Z81Es_1_1,Vinko Coce,Vinko Coce,Ako te 'ko pita,1897,"Mater nas je rodila
kod Staroga Placa
cin smo oci otvorili
za Hajduk smo bili

Odma' su nas tamo
motali u bilo
to je nasa povist
tako je to bilo   
 
Ime su nan dali
Torcida iz Splita
zvonila su zvona
na sve strane svita

To je nasa povist
tako je to bilo
Hajduk zivi vjecno
sta bilo da bilo     

Ref.
Ako te 'ko pita
i na kraju svita
odakle si dosa
reci mu - iz Splita 

Ako te 'ko pita
reci mu bez stida
reci mu za Hajduk
i ime Torcida

Moje golube bijeli
rasiri krila
najlipsa boja
boja je bila

U svit odleti
i svima pokazi
naman se vrati
na Plac najdrazi

Sjeveroistok
 sjeverozapad
idemo bili 
svi u napad

Valovi krecu
Torcide, znajte
i sad s Torcidon 
svi zapivajte   

Ref. 2x","https://tekstovi.net/2,972,60654.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r01Z81Es_1_2,Vinko Coce,Vinko Coce,Croatio ponosna u dusi (feat. Najbolji HR Tamburasi),2238,"Ja san rodjen pokraj plavog mora
Dalmatinac i duson i tilom
di maslina u kamenu raste
di se dica radjaju u bilom

Ja sam rodjen ispod plavog neba
di se zita Slavonije zlate
di prolaze i Sava i Drava
di matere radjaju Hrvate
 
Ref.
Croatio ponosna u dusi
tukli su te topovi i kise
prije dat cu da se nebo srusi
nego da te dirne itko vise

Croatio ponosna u dusi
sve dok more svoje vale njise
prije dat cu da se nebo srusi
nego da te dirne itko vise

Ja sam cuvar livada zelenih
po kojima vrani konji kasu
di dusmani polomise zube
di oduvik stuju Lipu Nasu

Ja san covik od bure i soli
di je galeb gospodar visina
di se Gospa i voli i moli
cuvaj zemlju smokava i vina

Ref.","https://tekstovi.net/2,972,55696.html",,,,,,,,,,,"['Vinko Coce', 'Najbolji Hrvatski Tamburaši']",https://diskografija.com/pjesma/croatio-ponosna-u-dusi-16651.htm,"Croatio, ponosna u duši",,,,,,,,,Vinko Coce,"Croatio, Ponosna U Duši",3:50,Morska Svitanja,,,2013.0,Najbolji Hrvatski Tamburaši,2013.0-Morska Svitanja
3,r01Z81Es_1_3,Vinko Coce,Vinko Coce,Da je meni s tobon kroz pasike,972,"Da je meni s tobon kroz pasike
samo jednon sottobrazzo proc'
svi bi znali da si moja vila
svi bi znali da ces za me poc'

Ref. 2x
Kad te vidin, kad te pozdravin
kad me boli, odma' ozdravin
bez tebe san ruza uvela
samo tebe volin ja  
 
Da je meni s tobon sve nedi'je
priko mosta o' Ciova proc'
svi bi znali, drag mi ni'ko nije
svi bi znali da cu za te poc'

Ref. 2x","https://tekstovi.net/2,972,60240.html",,Da je meni s tobom kroz Pašike,Gdybym mógł z Tobą przejść przez Pašike (Trogir),,"Da je meni s tobom kroz Pašike
samo jednom šoto braco proć
Svi bi znali da si moja vila
Svi bi znali da ćeš za me poć. Kad te vidim
Kad te pozdravim
Kad me boli
Odma ozdravim
Bez tebe sam ruža uvela
Samo tebe jubim ja
Da je meni s tobom se nedije
Priko mosta o Ciova proć
Svi bi znali drag mi niko nije
Svi bi znali da cu za te poć","Gdybym mógł z Tobą przez Pašike
Tylko raz przed braćmi (kumplami, krewnymi) przejść
Wszyscy by wiedzieli, że jesteś moją duszą (natchnieniem)
Wszyscy by wiedzieli, że chcesz za mnie wyjść. Kiedy Cię zobaczę
Kiedy Cię przywitam
Kiedy cierpię
Natychmiast zdrowieję
Bez Ciebie jestem zwiędniętą różą
Tylko Ciebie kocham
Gdybym mógł z Tobą wiązać (mieć) nadzieję
Przez most na wyspę Čiovo przejść
Wszyscy by wiedzieli, że nikt mi nie jest drogi
Wszyscy by wiedzieli, że chcesz za mnie wyjść",https://lyricstranslate.com/en/da-je-meni-s-tobom-kroz-pa%C5%A1ike-gdybym-m%C3%B3g%C5%82-z-tob%C4%85-przej%C5%9B%C4%87-przez-pa%C5%A1ike-trogir.html,['Nenad Ninčević'],['Nenad Ninčević'],['Joško Banov'],['Vinko Coce'],https://diskografija.com/pjesma/da-je-meni-s-tobom-kroz-pasike-7227.htm,Da je meni s tobom kroz pasike,"1993 - Mirno spavaj, ružo moja",2004 - Pisme iz škafetina - Suveniri,2005 - Da te mogu pismom zvati - Libar III - Vinko Coce & Tomislava Miše,2006 - Zlatna kolekcija,,"Da je meni s tobom kroz pasike
samo jednom šoto braco proć
Svi bi znali da si moja vila
Svi bi znali da ćeš za me poć

Kad te vidim
Kad te pozdravim
Kad me boli
Odma ozdravim
Bez tebe sam ruža uvela
Samo tebe jubim ja
Da je meni s tobom se nedije
Priko mosta o Ciova proć
Svi bi znali drag mi niko nije
Svi bi znali da cu za te poć",Da je meni s tobom kroz Pasike,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/da-je-meni-s-tobom-kroz-pasike.html,Vinko Coce,Da Je Meni S Tobon Kroz Pasike,3:06,Tenori I Tenorine O Svome Trogiru,Nenad Ninčević,Nenad Ninčević,2002.0,,2002.0-Tenori I Tenorine O Svome Trogiru/2015.0-Orange Collection
4,r01Z81Es_1_4,Vinko Coce,Vinko Coce,Daleko je srce,18603,"Ne govori nista
nek' se zadnja svjetla pogase
daleko je srce
nije ono ovdje uz mene

Uspomene teku kao rijeka
iz mog djetinjstva
ja ne mogu vise
vracam ti se, mila mati ja
 
Ref.
Velebita vilo spusti se
puni vjetre malo s Neretve
ponosita Slavonijo
moja krsna Dalmacijo
evo mene, vratio sam se

Zapivaj mi licki sokole
oj, duboki plavi Jadrane
golubice svima reci
i od srece suzo teci
evo mene, vratio sam se

Stislo me u grlu
sjeta mi kroz grudi prolazi
korijeni su moji
daleko odavde ostali

Stisnut' cu vam ruku
prijatelji moji dobri svi
tu sam jos veceras
a vec sutra ja vam odlazim, odlazim

Ref.","https://tekstovi.net/2,972,25535.html",,,,,,,,,,,,,,,,,,,"Ne govori ništa
Nek' se zadnja svjetla pogase
Daleko je srce, nije ono ovdje uz mene

Uspomene teku kao rijeka iz mog djetinjstva
Ja ne mogu više, vracam ti se, mila mati, ja

Velebita vilo, spusti se
Puni, vjetre, malo s Neretve
Ponosita Slavonijo
Moja kršna Dalmacijo
Evo mene, vratio sam se

Zapivaj mi, licki sokole
Oj, duboki plavi Jadrane
Golubice, svima reci
I od srece, suzo teci,
Evo mene, vratio sam se

Stislo me u grlu
Sjeta mi kroz grudi prolazi
Korijeni su moji daleko odavde ostali
Stisnut cu vam ruku
Prijatelji moji dobri svi
Tu sam još veceras, a vec sutra ja vam odlazim ",Daleko je srce,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/daleko-je-srce.html,Vinko Coce,Daleko je srce,3:42,Odriši mi dušu,,,,,nan-Odriši mi dušu
5,r01Z81Es_1_5,Vinko Coce,Vinko Coce,"Dalmacija, more, ja i ti",1114,"Kada sunce u posteju ode
i kada galeb na siku sleti
snaga tisine zagrli more
bez krila covik moze da leti

Kada sunce u posteju ode
svitla lanterni na moru se pale
kalajte jidra, fermajte brode
slusati more dok vaja zale
 
Ref.
Kako je lipa litnja noc
kad zal sa moren govori
kako me smanta miris taj
kad miris puste borovi

Kako je lipo pod nebon
pod vedrin nebon moje jubavi
Dalmacija, more, ja i ti

Kada sunce u posteju ode
i kad maestral na moru padne
svitla lanterni tiho se pale
jos samo usne tvoje mi fale

Ref. 2x

Dalmacija dusu ozdravi","https://tekstovi.net/2,972,61920.html",boris ostric,"Dalmacija, more, ja i ti","Dalmatia, sea, me and you","Dalmacija, more, ja i ti","Kada sunce u postelju ode
1
I kada galeb na siku sleti
Snaga tišine, zagrli more
Bez krila čovik može da leti
Kada sunce u postelju ode
Svitla lanterni na moru se pale
Kalajte idra, fermajte borde
Sluša bi more dok valja žale. Kako je lipa litnja noć
Kad žal sa morem govori
Kako me smanta miris taj
Kad miris puste borovi
Kako je lipo pod nebom
Pod vedrim nebom moje ljubavi
Dalmacija, more ja i ti. Kada sunce u postelju ode
I kad maestral na moru padne
Svitla lanterni tiho se pale
Još samo usne tvoje mi fale. Kako je lipa litna noć
Kad žal sa morem govori
Kako me smanta miris taj
Kad miris puste borovi
Kako je lipo pod nebom
Pod vedrim nebom moje ljubavi
Damlacija, more ja i ti
Dalmacija dušu ozdravi","When the sun is gone to bed
And when the gull lands on ...
The force of silence embrace the sea
A man is able to fly without wings
When the sun is gone to bed
The lantern lights light on the sea
Calm the sails, stop the boats
I want to listen to the sea while it rolls the beaches. How beautiful is this summer night
When strand talks to the sea
That smell bewithces me
And when pine trees release their smell
How beautiful is to be under the sky
Under serene sky of my love
Dalmatia, sea, me and you. When the sun is gone to bed
And when wind slows down on the sea
The lantern lights light silently
I miss only your lips. How beautiful is this summer night
When strand talks to the sea
That smell bewithces me
And when pine trees release their smell
How beautiful is to be under the sky
Under serene sky of my love
Dalmatia, sea, me and you
Dalmatia, cure my soul",https://lyricstranslate.com/en/Dalmacija-more-ja-i-ti-Dalmatia-sea-me-and-you.html,,,,['Vinko Coce'],https://diskografija.com/pjesma/dalmacija-more-ja-i-ti-5611.htm,"Dalmacija, more, ja i ti",,,,,,"Kada sunce u postelju ode
I kada galeb na siku sleti
Snaga tišine, zagrli more
Bez krila ovik može da leti
Kada sunce u postelju ode
Svitla lanterni na moru se pale
Kalajte idra, fermajte borde
Sluša bi more dok valja žale

Kako je lipa litnja no
Kad žal sa morem govori
Kako me smanta miris taj
Kad miris puste borovi
Kako je lipo pod nebom
Pod vedrim nebom moje ljubavi
Dalmacija, more ja i ti

Kada sunce u postelju ode
I kad maestral na moru padne
Svitla lanterni tiho se pale
Još samo usne tvoje mi fale

Kako je lipa litna no
Kad žal sa morem govori
Kako me smanta miris taj
Kad miris puste bovori
Kako je lipo pod nebom
Pod vedrim nebom moje ljubavi
Damlacija, more ja i ti
Dalmacija dušu ozdravi","Dalmacija, more, ja i ti",https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/dalmacija-more-ja-i-ti.html,Vinko Coce,"Dalmacija, More, Ja I Ti",3:52,"Dalmacija, More, Ja I Ti",,,2000.0,,"2000.0-Dalmacija, More, Ja I Ti/2015.0-Orange Collection"
6,r01Z81Es_1_6,Vinko Coce,Vinko Coce,"Dalmacijo, sve ti cvitalo",766,"Pusti suzu, Dalmacijo moja
pusti suzu slanu kao sol
pusti suzu, Dalmacijo moja
i isplaci materinu bol

Pusti suzu, Dalmacijo moja
ni'ko nece zamiriti to
tukli su ti gradove i skoja
ranili ti dusu pritesko

Ref. 2x
Dalmacijo, Dalmacijo
Dalmacijo, sve ti cvitalo","https://tekstovi.net/2,972,61919.html",,"Dalmacijo, sve ti cvitalo",,,"Pusti suzu, Dalmacijo moja,
pusti suzu slanu kao sol
Pusti suzu, Dalmacijo moja,
i isplači materinu bol
Pusti suzu, Dalmacijo moja,
niko neće zamirit ti to
Tukli su ti gradove i škoja
ranili ti dušu priteško. Dalmacijo,
Dalmacijo,
Dalmacijo,
sve ti cvitalo. Dalmacijo,
Dalmacijo,
Dalmacijo,
sve ti cvitalo. Dalmacijo sve ti cvitalo. Pusti suzu, Dalmacijo moja,
pusti suzu slanu kao sol
Pusti suzu, Dalmacijo moja,
i isplači materinu bol
Pusti suzu, Dalmacijo moja,
niko neće zamirt ti to
Tukli su ti gradove i škoja
ranili ti dušu priteško. Dalmacijo,
Dalmacijo,
Dalmacijo,
sve ti cvitalo. Dalmacijo,
Dalmacijo,
Dalmacijo,
sve ti cvitalo. Dalmacijo, sve ti cvitalo",,https://lyricstranslate.com/en/Vinko-Coce-Dalmacijo-sve-ti-cvitalo-lyrics.html,['Nenad Ninčević'],['Nenad Ninčević'],['Joško Banov'],['Vinko Coce'],https://diskografija.com/pjesma/dalmacijo-sve-ti-cvitalo-10547.htm,"Dalmacijo, sve ti cvitalo","1993 - Mirno spavaj, ružo moja",2007 - Da te mogu pismom zvati - Libar IX,,,,"Pusti suzu, Dalmacijo moja
Pusti suzu, slanu kao sol
Pusti suzu, Dalmacijo moja
I isplaci materinu bol
Pusti suzu Dalmacijo moja
Niko nece zamiriti to
Tukli su ti gradove i škoja
Ranili ti dušu priteško
Dalmacijo, Dalmacijo, Dalmacijo
Sve ti cvitalo ","Dalmacijo, sve ti cvitalo",https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/dalmacijo-sve-ti-cvitalo.html,Vinko Coce,"Dalmacijo, Sve Ti Cvitalo",3:30,"Mirno Spavaj, Ružo Moja",,,,,"nan-Mirno Spavaj, Ružo Moja/2008.0-Ne Damo Te Pismo Naša/2017.0-The Best Of Collection"
7,r01Z81Es_1_7,Vinko Coce,Vinko Coce,"Dalmatinko, crno oko moje",553,"Zavele me crne oci
crna oka dva
Dalmatinke sve su lipe
ona je najlipsa

O, moj Bogo, kad je vidin
odma' sagrisin
razrisi me smrtni' grija
da je pojubin
 
Ref. 2x
Dalmatinko, crno oko moje
da je glavu naslonit'
na bile grudi tvoje

Dalmatinko, zlata neman ja
neman srca, neman duse
sve san tebi da

Dabogda presusilo more Jadransko
ako drugi jubi tvoje lice pribilo

Neman srca, neman duse
sve san tebi da
pa san kako vitar puse
ptica nebeska

O, moj Bogo, ja ne mogu
ne mogu bez nje
providi mi jubav
nek' je cuva za mene

Ref. 2x","https://tekstovi.net/2,972,61910.html",,,,,,,,['Nenad Ninčević'],['Nenad Ninčević'],['Joško Banov'],['Vinko Coce'],https://diskografija.com/pjesma/dalmatinko-crno-oko-moje-9983.htm,"Dalmatinko, crno oko moje",2006 - Da te mogu pismom zvati - Libar VI,2006 - Zlatna kolekcija,,,,"Zavele me crne oci, crna oka dva
Dalmatinke sve su lipe, ona je najlipša
O, moj Bogo kad je vidin, odma sagrišim
Razriši me crnih grija da je poljubim.

Dalmatinko, crno oko moje
Da je glavu naslonit na bile grudi tvoje
Dalmatinko, zlata nemam ja
Nemam srca, nemam duše, sve sam tebi da
Da Bog da prisušilo more Jadransko
Ako drugi ljubi tvoje lice pribilo

Nema srca nemam duše, sve sam tebi da
Pa sam kako vitar puše, ptica nebeska
O, moj Bogo ja ne mogu, ne mogu bez nje
Providi mi ljubav nek je cuva za mene ","Dalmatinko, crno oko moje",https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/dalmatinko-crno-oko-moje.html,Vinko Coce,"Dalmatinko, Crno Oko Moje",3:15,Ljubav Je Ka I Cvit,,,1998.0,,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatna Kolekcija
8,r01Z81Es_1_8,Vinko Coce,Vinko Coce,Domenika,4502,"Ja san se rodi ka sritno dite
falinge niman, jedino ceznju
u srcu nosin i ne mogu daje
ja bojin se umrit, a sit san zivota

Ref.
Domenika
mudrosti tvojoj virujen
lipo ti sebe predajen
ti trazis da ti tilo dam
kom' da onda pripadam
 
Domenika
svitlost me tvoja vodila
kripost mi dusu zavela
i daje ja se borim sam
srcu tvom da pripadam

Iston mirom gledaj dobre ka' i lose
ne zamiri meni svaku grubu ric
jer u svome srcu jos san ka' mali, napravi mista
tamo te cekan, tamo ti je dom

Ref. 2x","https://tekstovi.net/2,972,25533.html",,,,,,,,,,,,,,,,,,,"Ja san se rodi ka sritno dite
Falinge niman, jedino cežnju
U srcu nosin i ne mogu daje
Ja bojin se umrit, a sit san života

Domenika
Mudrosti tvojoj virujen
Liposti sebe predajen
Ti tržiš da ti tilo dam
Kom' da onda pripadam

Domenika
Svitlost me tovja vodila
Kripost mi dušu zavela
Ja se borim sam
Srcu tvom da pripadam

Iston mirom gledaj dobre ka' i loše
Ne zamiri meni svaku grubu ric
Jer u svome srcu
Još san, ka' mali, napravi mista
Tamo te cekan, tamo ti je dom ",Domenika,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/domenika.html,Vinko Coce,Domenika,4:48,Odriši mi dušu,,,,,nan-Odriši mi dušu
9,r01Z81Es_1_9,Vinko Coce,Vinko Coce,Gajeta,4831,"Stara mati oca ceka
da se vrati iz daleka
iz daljina pogled ne spusta

Teski san joj lomi oci
more slusa svake noci
a u dusi bisni nevera
 
Ref.
Ka' i gajeta vezana za stine
sto je nije stra' kakvo god je vrime
ka' i gajeta navikla na vitre
sto sa moren vodi ljute bitke

Ti joj podaj majko sveta
da pozivi puno ljeta
ispuni joj zelju veliku

Muku tira mati stara
dragog ceka, svog mornara
svece moli da se smiluju

Ref.

Ref.","https://tekstovi.net/2,972,25536.html",,,,,,,,,,,,,,,,,,,"Stara mati oca ceka
Da se vrati iz daleka
Iz daljina pogled ne spušta
Teški san joj lomi oci
More sluša svake noci
A u duši bisni nevera

Ka' i gajeta vezana za stine
Što je nije stra' kakvo god je vrime
Ka' i gajeta navikla na vitre
Što sa moren vodi ljute bitke

Ti joj podaj, majko sveta,
Da poživi puno ljeta
Ispuni joj želju veliku
Muku tira mati stara
Dragog ceka, svog mornara
Svece moli da se smiluju ",Gajeta,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/gajeta.html,Vinko Coce,Gajeta,3:55,Odriši mi dušu,,,,,nan-Odriši mi dušu
10,r01Z81Es_1_10,Vinko Coce,Vinko Coce,Izlici mi dusu pismon,513,"Otkad nisan zapiva
pismu Dalmatinu
otkad nisan zaplaka
materi u krilu

Otkad nisan vidija
tvoje crne oci
otkad nisan pustija
glas u litnjoj noci
 
Ref.
Izlici mi dusu pismon
i obrisi suze s lica
izdali te nikad nismo
materina mi smo dica

Da iman srca dva
da bi obadva
da jos jednon stara klapa
na rivi zapiva

Da iman srca dva
da bi obadva
da jos jednon stara klapa
na rivi zapiva

Otkad nisan ubra ja
ruzu u djardinu
otkad nisan taknija
rukon mandolinu

Otkad nisan nosija
vestit od nedije
i prid oltar kleknija
da odrisin grije

Ref.","https://tekstovi.net/2,972,61921.html",,Izliči mi dušu pismo,,,"Otkad nisan zapiva pismu dalmatinu
Otkad nisan zaplaka materi u krilu
Otkad nisan vidija tvoje crne oči
Otkad nisan pustija glas u litnjoj noći. Izliči mi dušu pismo
I obriši suze s lica
Izdali te nikad nismo
Materina mi smo dica
Da iman srca dva
Da bi obadva
Da još jednon stara klapa
Na rivi zapiva. Otkad nisan ubra ja ružu u đardinu
Otkad nisan taknija rukon mandolinu
Otkad nisan nosija veštit od nedije
I prid oltar kleknija da odrišin grije",,https://lyricstranslate.com/en/vinko-coce-izli%C4%8Di-mi-du%C5%A1u-pismo-lyrics.html,,,,['Vinko Coce'],https://diskografija.com/pjesma/izlici-mi-dusu-pismo-11303.htm,Izliči mi dušu pismo,,,,,,"Otkad nisan zapiva pismu dalmatinu
Otkad nisan zaplaka materi u krilu
Otkad nisan vidija tvoje crne oči
Otkad nisan pustija glas u litnjoj noći

Izliči mi dušu pismo
I obriši suze s lica
Izdali te nikad nismo
Materina mi smo dica

Da iman srca dva
Da bi obadva
Da još jednon stara klapa
Na rivi zapiva

Otkad nisan ubra ja ružu u đardinu
Otkad nisan taknija rukon mandolinu
Otkad nisan nosija veštit od nedije
I prid oltar kleknija da odrišin grije",Izliči mi dušu pismo,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/izlici-mi-dusu-pismo.html,Vinko Coce,Izliči Mi Dušu Pismo,3:36,Ljubav Je Ka I Cvit,,,1998.0,,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2017.0-The Best Of Collection
11,r01Z81Es_1_11,Vinko Coce,Vinko Coce,Jubav je ka i cvit,497,"Najlipse dane sve
s tobon san prosa
mladosti moje cvit
tebi san da

Evo me opet tu
tebi san dosa
prosa san cili svit
sve vidija
 
Samo more zna
di smo se tajno jubili
samo more zna
more i ti

Ref.
Jubav je ka i cvit
puno joj triba
'tija san viran bit'
al' nisan zna

Sta ce mi cili svit
kad tebe nima
ka zedan vode pit'
triban te ja

Tuka san more ja
i ono mene
sta mi je tribalo poc'
bija san lud

Sliku san nosija
voljene zene
svaka je nova noc
i kazna, i sud

Ref. 2x","https://tekstovi.net/2,972,61916.html",,Ljubav je ka i cvit,,(unknown),"Najlipše dane sve, s tobon sam proša,
mladosti moje cvit, tebi san da.
Evo me opet tu, tebi san doša,
proša san cili svit, sve vidija.
Samo more zna, di smo se tajno ljubili,
samo more zna, more i ti.... Refren:
Ljubav je ka i cvit, puno joj triba,
tija san viran bit, al nisan zna.
Šta će mi cili svit, kad tebe nima,
ka žedan vode pit, triban te ja.... Tuka san more ja i ono mene,
šta mi je tribalo poć, bija san lud.
Sliku sam nosija voljene žene,
svaka je nova noć i kazna i zov.
Samo more zna, di smo se tajno ljubili,
samo more zna, more i ti.... Refren:
Ljubav je ka i cvit, puno joj triba,
tija san viran bit, al nisan zna.
Šta će mi cili svit, kad tebe nima,
ka žedan vode pit, triban te ja...",,https://lyricstranslate.com/en/vinko-coce-ljubav-je-ka-i-cvit-lyrics.html,,,,['Vinko Coce'],https://diskografija.com/pjesma/ljubav-je-ka-i-cvit-11308.htm,Ljubav je ka i cvit,,,,,,"Najlipše dane sve, s tobon sam proša
Mladosti moje cvit, tebi san da
Evo me opet tu, tebi san doša
Proša san cili svit, sve vidija
Samo more zna, di smo se tajno ljubili
Samo more zna, more i ti

Ljubav je ka i cvit, puno joj triba,
Tija san viran bit, al nisan zna
Šta ce mi cili svit, kad tebe nima
Ka žedan vode pit, triban te ja

Tuka san more ja i ono mene
Šta mi je tribalo poc, bija san lud
Sliku sam nosija voljene žene
Svaka je nova noc i kazna i zov
Samo more zna, di smo se tajno ljubili
Samo more zna, more i ti ",Ljubav je ka i cvit,https://cuspajz.com//tekstovi-pjesama/pjesma/vinko-coce/ljubav-je-ka-i-cvit.html,Vinko Coce,Ljubav Je Ka I Cvit,3:40,Ljubav Je Ka I Cvit,Nenad Ninčević,Joško Banov,1998.0,,1998.0-Ljubav Je Ka I Cvit/nan-Sve Najbolje/2006.0-Zlatni Hitovi Dalmacije/2006.0-Zlatna Kolekcija/2011.0-Najljepše Ljubavne Pjesme/2017.0-The Best Of Collection
12,r01Z81Es_1_12,Vinko Coce,Vinko Coce,Kada umren umotan u bilo,71391,"Pape i dida
bili su torcida
bila je boja
i sina moga

Uvik se znalo 
za rici znane
uvik se pivalo
Marjane, Marjane
 
U ruci mi lancun bili
 Hajduku da san zivot cili
pratite me ljudi mili
kad se dusa s tilom dili 

Ref.
Kada umren umotan u bilo
na Poljud odnesite mi tilo
zapivajte bili su bili
kad se dusa s tilon dili 

Kada umren umotan u bilo
 na Poljud odnesite mi tilo
nek vijori barjak 
na kojem pise
Hajduk zivi vjecno
Bog i niko vise 

More place ono suzu ima
misto glazbe nek torcida piva
Hajduce ponosan budi
tebe tvoje dite uvik ljubi 

 Ref.","https://tekstovi.net/2,972,30361.html",,Kada umren umotan u bilo,Whan I Die Wrapped Up In White,,"Pape i dida bili su Torcida
Bila je boja i sina moga. Uvik se znalo za riči znane
Uvik se pivalo Marjane, Marjane. U ruci mi lancun bili
Hajduku da san život cili. Pratite me, ljudi mili,
Kad se duša s tilom dili (2X). (Refren)
Kada umren umotan u bilo
Na Poljud odnesite mi tilo
Zapivajte ""Bili su bili""
Kad se duša s tilon dili
Kada umren umotan u bilo
Na Poljud odnesite mi tilo
Nek' vijori barjak na kojem piše
""Hajduk živi vječno
Bog i nitko više!"". More plače, ono suzu ima
Misto glazbe nek' Torcida piva. Hajduče, ponosan budi
Tebe tvoje dite uvik ljubi (2x). (Refren)","Dad and Grandpa were Torcida1
White is also my son's color. Famous words were always well known
There was always singing - Marjane, Marjane. White sheet is in my hand
I gave my whole life to Hajduk. Follow me, dear people,
When soul parts from the body [x2]. [refrain]
When I die wrapped up in white
Take my body to Poljud2
Sing ""White are white""
When soul parts from the body
When I die wrapped up in white
Take my body to Poljud
Let there be flag hanging on which it says
""Hajduk lives forever
God and no one else!"". Sea cries, it has a tear
Let Torcida sing instead of musicians3. Hajduk, be proud
Your child loves you always [x2]. [refrain]",https://lyricstranslate.com/en/kada-umren-umotan-u-bilo-whan-i-die-wrapped-white.html,,,,,,,,,,,,,,,Vinko Coce,Kada Umren Umotan U Bilo,,Ne Damo Te Pismo Naša,,,2008.0,,2008.0-Ne Damo Te Pismo Naša
13,r01Z81Es_1_13,Vinko Coce,Vinko Coce,Ljubav mog zivota (duet Alen Nizetic),45340,"Zauvik ces ostat ljubav mog zivota

Tamo di ja gledan, stari plac se vidi
storiji pod murvon novo vrime slidi
ne gubi se boja od jubavi moje
i onog sto oduvik znaci ime tvoje
 
Od rodjenja svoga hoda san uz tebe
otkad zraka disen, otkad znan za sebe
i cutin te svakin dilon moga tila
s Poljuda sad piva Dalmacija cila

Ref.
Zauvik ces ostat nebo iznad mene
ma na koju bandu zivot da mi krene
i kad bude lako, kad ti bude teze
sidra moje duse u tvom moru leze

Zauvik ces ostat nebo iznad mene
sa pituron bilon prosa si kroz vene
tu u mome srcu Hajduk je lipota
zauvik ces ostat ljubav mog zivota

Ref. 2x","https://tekstovi.net/2,972,32754.html",,,,,,,,,,,"['Alen Nižetić', 'Vinko Coce']",https://diskografija.com/pjesma/ljubav-mog-zivota-24663.htm,Ljubav mog života,,,,,,,,,Vinko Coce,Ljubav Moga Života,4:31,Morska Svitanja,,,2013.0,Alen Nižetić,2013.0-Morska Svitanja
