Unnamed: 0,Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Featuring_discogs,All_albums_discogs
0,QUgrhjBj_1_0,Colonia,Colonia,1001 noc,78415,"Malo po malo i ovaj grad tone u san
prolazi jos jedan dan dosadan
bilo bi vrijeme da se probaju haljine
i da se uskoci u najbolje cipele

Malo po malo i ovaj grad postat ce nas
ma pusti price i nagazi na gas
gdje je party, gdje je pjesma
gdje je vino tu je spas
gdje je ludi ritam noci
to je mjesto za nas
 
Ref.
Zaboravi sve i pusti me
nek' se svijet oko nas okrece
zaboravi sve i osjeti moc
nije nam dovoljna ni 1001 noc

Malo po malo i zora vec je svanula
a vatra je tek u nama planula
doslo je vrijeme kada najjaci ostaju
vrijeme kada krinke padaju

Malo po malo i ovaj grad postat ce nas
ma pusti price i nagazi na gas
gdje je party, gdje je pjesma
gdje je vino tu je spas
gdje je ludi ritam noci
to je mjesto za nas

Ref.","https://tekstovi.net/2,140,2539.html",Boris Durdevic,1001 noc,1001 Night,,"Malo po malo i ovaj grad tone u san
1
prolazi još jedan dan dosadan
bilo bi vrijeme da se probaju haljine
i da se uskoči u najbolje cipele. Malo po malo i ovaj grad postat će naš
ma pusti priče i nagazi na gas
gdje je party, gdje je pjesma
gdje je vino tu je spas
gdje je ludi ritam noći
to je mjesto za nas. Ref.
Zaboravi sve i pusti me
nek' se svijet oko nas okreče
zaboravi sve i osjeti moć
nije nam dovoljna ni 1001 noć. Malo po malo i zora već je svanula
a vatra je tek u nama planula
došlo je vrijeme kada najjači ostaju
vrijeme kada krinke padaju. Malo po malo i ovaj grad postat će nas
ma pusti priče i nagazi na gas
gdje je party, gdje je pjesma
gdje je vino tu je spas
gdje je ludi ritam noći
to je mjesto za nas. Ref.","Little by little this city is also falling asleep
Another boring day passes by
It would be time, to try on dresses
And to put on the best shoes. Little by litte this city will also become ours
Well forget the stories and step on the gas
Where the party is, where the song is
Where the wine is, there's salvation
Where the crazy rhythm of the night is
That's the place for us. Ref.
Forget everything and let me go
Let the world turn around us
Forget everything and feel the power
1001 nights aren't even enough for us. Little by little the dawn also broke
But the fire has just caught inside of us
The time has come when the strongest remain
Time when the masks fall. Little by litte this city will also become ours
Well forget the stories and step on the gas
Where the party is, where the song is
Where the wine is, there's salvation
Where the crazy rhythm of the night is
That's the place for us. Ref.",https://lyricstranslate.com/en/1001-noc-1001-Night.html,['Boris Đurđević'],['Boris Đurđević'],['Boris Đurđević'],['Colonia'],2000 - Jača nego ikad,2013 - Tvrđava - remix,https://diskografija.com/pjesma/1001-noc-253.htm,1001 Noć,,,,,,"Malo po malo
I ovaj grad tone u san
Prolazi jos jedan dan dosadan
Bilo bih vrijeme
Da se probaju haljine
I da se uskoci u najbolje cipele

Malo po malo
I ovaj grad postace nas
Ma pusti price i nagazi na gas
Gdje parti ,gdje je pijesma ,
Gdje je vino tu je spas
Gdje ludi ritam noci
To je mijesto za nas

Zaboravi sve i pusti me
ajajajaaa
Nek' se svijet oko nas okrece
Zaboravi sve osjeti moc
ajajajaa
Nije nam dvoljna ni 1001 noc

Malo po malo
I zora vec ja svanula
A vatra je tek' u nama planula
Doslo je vrijeme kada najjaci ostaju
Vrijeme kada krinke padaju

Malo po malo
I ovaj grad postatce nas...

Zaboravi sve i pusti me...

lajlajlajlajlajlaj............

Zaboravi sve i pusti me...",1001 noć,https://cuspajz.com//tekstovi-pjesama/pjesma/colonia/1001-noc.html,Colonia,1001 Noć,4:20,Jača Nego Ikad,,,,,nan-Jača Nego Ikad/nan-Oduzimaš Mi Dah (The Best Of...)/2003.0-The Best Of/0.0-The Best Of
1,QUgrhjBj_1_1,Colonia,Colonia,Ako odes,46157,"Gledam ti lice, 
slusam besmislice
kao da su rijeci stranca
nudis mi stalno 
neku drugu ljubav
reci mi cemu sve ovo
 
Zar nismo ti i ja 
kao savrsena harmonija
mozda su note postale nijeme
izgubljene u tvojim lazima

Ref.
Ako odes ne okreci se
cekaju te mokre ulice
samo idi prezivjecu ja sve
i prije sam bila bez tebe

Gledam u lice kukavice
kao da te ne poznajem vise
nudis mi rame, 
svoje prijateljstvo
reci mi cemu sve ovo

Zar nismo ti i ja 
kao savrsena harmonija
mozda su note postale nijeme
izgubljene u tvojim lazima

Ref.","https://tekstovi.net/2,140,2541.html",,,,,,,,['Boris Đurđević'],['Boris Đurđević'],['Boris Đurđević'],['Colonia'],,,https://diskografija.com/pjesma/ako-odes-4330.htm,Ako odeš,,,,,,"Gledam ti lice, slušam besmislice
Kao da su riječi stranca
Nudiš mi stalno neku drugu ljubav
Reci mi čemu sve ovo
Zar nismo ti i ja kao savršena harmonija
Možda su note postale nijeme
Izgubljene u tvojim lažima

Ako odeš, ne okreći se
Čekaju te mokre ulice
Samo idi, preživjet ću ja sve
I prije sam bila bez tebe

Gledam u lice kukavice
Kao da te ne poznajem više
Nudiš mi rame, svoje prijateljstvo
Reci mi čemu sve ovo
Zar nismo ti i ja kao savršena harmonija
Možda su note postale nijeme
Izgubljene u tvojim lažima

Ako odeš, ne okreći se
Čekaju te mokre ulice
Samo idi preživjet ću ja sve
I prije sam bila bez tebe",Ako odeš,https://cuspajz.com//tekstovi-pjesama/pjesma/colonia/ako-odes.html,Colonia,Ako Odeš,4:04,Izgubljeni Svijet,,,,,nan-Izgubljeni Svijet/2003.0-The Best Of/2005.0-The Best Of/nan-Best Of/2008.0-The Platinum Collection
2,QUgrhjBj_1_2,Colonia,Colonia,Alarmantno,1595,"Pola tri u noci, ulazim u bar
oko mene guzva, svira moja stvar
ti stojis sam, odakle te znam

Opasno me gledas, struja udara
pokvari mi ruz, to me zanima
daj mi znak, ugrizi me za vrat
 
Ref.
Tik, tik, tak, zato bi se napili
reci da si moj, daj slatko lazi mi
nije alarmantno, ali je delikatno

Tik, tik, tak, samo tako nastavi
lud je ovaj grad, ma neka smo i mi
nije alarmantno, ali je delikatno

Ha, la, la, la, la, laj, la

Ne znam ti ni ime, al’ dobro izgledas
daj nam uzmi jos pice ili dva
njezno me diraj, po meni sviraj

Ref. 2x","https://tekstovi.net/2,140,57378.html",,Alarmantno,,,"Pola tri u noći, ulazim u bar
Oko mene gužva, svira moja stvar
Ti stojiš sam, odakle te znam. Opasno me gledaš
Struja udara
Pokvari mi ruž
To me zanima
Daj mi znak
Ugrizi me za vrat. Refren
Tik, tik, tak zato bi se napili
Ma reci da si moj, daj slatko laži mi
Nije alarmantno, ali je delikatno
Tik, tik, tak samo tako nastavi
Lud je ovaj grad ma neka smo i mi
Nije alarmantno, ali je delikatno
Ha, la, la, la, la, laj, la. Yo estoy bailando
Yo estoy bailando
Yo estoy bailando
Reggeton, reggeton
Yo estoy bailando
Yo estoy bailando
Alaramante, alaramante
Yo estoy bailando
Alaramante, alaramante. Yo estoy bailando
Alaramante, alaramante
Yo estoy bailando
Ha, la, la, la, la, laj, la
Alaramante, alaramante
Ha, la, la, la, la, laj, la
Yo estoy bailando
Yo estoy bailando. Ne znam ti ni ime, al’ dobro izgledaš
Daj nam uzmi još piće ili dva
Nježno me diraj, po meni sviraj. Opasno me gledaš
Struja udara
Pokvari mi ruž
To me zanima
Daj mi znak
Ugrizi me za vrat. Refren
Tik, tik, tak zato bi se napili
Ma reci da si moj, daj slatko laži mi
Nije alarmantno, ali je delikatno
Tik, tik, tak samo tako nastavi
Lud je ovaj grad ma neka smo i mi
Nije alarmantno, ali je delikatno
Ha, la, la, la, la, laj, la. Yo estoy bailando
Yo estoy bailando
Yo estoy bailando
Reggeton, reggeton
Yo estoy bailando
Yo estoy bailando
Alaramante, alaramante
Yo estoy bailando
Alaramante, alaramante. Yo estoy bailando
Alaramante, alaramante
Yo estoy bailando
Ha, la, la, la, la, laj, la
Alaramante, alaramante
Ha, la, la, la, la, laj, la
Yo estoy bailando
Yo estoy bailando. Refren
Tik, tik, tak zato bi se napili
Ma reci da si moj, daj slatko laži mi
Nije alarmantno, ali je delikatno
Tik, tik, tak samo tako nastavi
Lud je ovaj grad ma neka smo i mi
Yo estoy bailando, ali je delikatno
Alaramante, alaramante",,https://lyricstranslate.com/en/colonia-alarmantno-lyrics.html,,,,,,,,,,,,,,,,,Colonia,Alarmantno,3:40,Nova Era,,,,,nan-Nova Era
3,QUgrhjBj_1_3,Colonia,Colonia,Ale ale,10112,"Ref. 2x
Ale ale ale ale
ale ale ale ale
Hrvatska, ale ale
srce tuce samo za tebe

Zivim za taj dozivljaj
kada se skupe moji prijatelji svi
emocije i vatromet
uz pivo i nogomet
 
I nitko nije jaci od nas
kad pjesma krene ajmo svi u jedan glas
grla se ore, tribine gore
hocemo gol, gol, gol, gol

Ref. 2x","https://tekstovi.net/2,140,34022.html",,Ale Ale,Ale Ale,,"Ale ale ale ale!
Ale ale ale ale!
Hrvatska, ale ale!
Srce tuče samo za tebe!. Živim za taj doživljaj
Kada se skupe moji prijatelji svi
Emocije i vatromet
Uz pivo i nogomet. I nitko nije jači od nas
Kad pjesma krene, ajmo svi u jedan glas
Grla se ore, tribine gore
Hoćemo gol, gol, gol, gol!. Ale ale ale ale!
Ale ale ale ale!
Hrvatska, ale ale!
Srce tuče samo za tebe!","Ale ale ale ale
ale ale ale ale
Croatia ale ale ale
The heart beats just for you…. I live for that experience
When all of my friends gather around me
Emotions and fireworks
Along with beer and football(/soccer)!. And nobody is stronger than us
When the song begins, come on everybody, shout at once!
Clear(?) your throat, stand up
We want a goal, goal, goal, goal!. Ale ale ale ale
ale ale ale ale
Croatia ale ale ale
The heart beats just for you…",https://lyricstranslate.com/en/ale-ale-ale-ale.html-1,,,,,,,,,,,,,,"Ale ale ale ale
Ale ale ale ale
Hrvatska, ale ale
Srce tuče samo za tebe

Živim za taj doživljaj
Kada se skupe moji prijatelji svi
Emocije i vatromet
Uz pivo i nogomet

I nitko nije jači od nas
Kad pjesma krene, ajmo svi u jedan glas
Grla se ore, tribine gore
Hoćemo gol, gol, gol, gol",Ale ale,https://cuspajz.com//tekstovi-pjesama/pjesma/colonia/ale-ale.html,,,,,,,,,
4,QUgrhjBj_1_4,Colonia,Colonia,Andjele,18921,"Prosla sam stotine cesta 
da dodjem do tebe
voljela sam krive ljude 
trazila sebe

Ti kao da si uvijek bio tu
 u blizini
pobijedila sam tugu i tamu 
da te napokon vidim
 
Ref.
Andjele, vratio si 
ljubav i osmijehe
andjele, umrla bih sad za tebe
andjele, andjele

Ref.","https://tekstovi.net/2,140,38019.html",Boris Durdevic,Anđele,My Angel,Tvrđava (The Fortress),"Prošla sam stotine cesta,
1
da dođem do tebe,
voljela sam krive ljude,
tražila sebe.. Ti kao da si uvijek bio tu,
u blizini,
pobijedila sam tugu i tamu,
da te napokon vidim.. Ref.
Anđele, vratio si ljubav i osmijehe.
Anđele, umrla bih sad za tebe.
Anđele, anđele.. Kao da si uvijek bio tu,
u blizini,
pobijedila sam tugu i tamu,
da te napokon vidim.. Ref.
Anđele, vratio si ljubav i osmijehe.
Anđele, umrla bih sad za tebe.
Anđele, anđele.","I've passed a hundred roads,
just to come to you.
I've loved all the wrong people,
I've been searching for myself.. And you, as if you have always been here,
in the nearness.
I've defeated the sadness and darkness,
just to finally see you.. Ref.
My angel, you've brought back the love and smiles.
My angel I would die for you right now.
My angel, my angel.. My angel, you've brought back the love and smiles.
My angel I would die for you right now.
My angel, my angel.. As if you have always been here,
in the nearness.
I've defeated the sadness and darkness,
just to finally see you.. Ref.
My angel, you've brought back the love and smiles.
My angel I would die for you right now.
My angel, my angel.",https://lyricstranslate.com/en/an%C4%91ele-my-angel.html,,,,['Colonia'],,,https://diskografija.com/pjesma/andele-16275.htm,Anđele,,,,,,,,,Colonia,Anđele,,Tvrđava,,,,,nan-Tvrđava
5,QUgrhjBj_1_5,Colonia,Colonia,Avantura zove me,38328,"Izludjuje me ovaj uspavan grad 
kud bih sa sobom, mislim ponekad 
zivot zna biti ovdje tako dosadan

Nije kasno da ostvarim san
okrenut cu pricu, nikog ne trebam
jer sutra je opet neki novi dan
 
Ref.
U mome srcu vatra je
ja nikad ne odustajem
ucinut cu sve jer ne bojim se 
avantura zove me

Nema vremena, nema cekanja 
svjetla pale se opet sad
nema vremena, nema cekanja 
samo jedna je prilika","https://tekstovi.net/2,140,27112.html",,,,,,,https://lyricstranslate.com/en/translations,,,,['Colonia'],,,https://diskografija.com/pjesma/avantura-zove-me-21021.htm,Avantura zove me,,,,,,"Izludjuje me ovaj uspavan grad
kud bih sa sobom, mislim ponekad
zivot zna biti ovdje tako dosadan

Nije kasno da ostvarim san
okrenut cu pricu, nikog ne trebam
jer sutra je opet neki novi dan

U mome srcu vatra je
ja nikad ne odustajem
ucinut cu sve jer ne bojim se
avantura zove me

Nema vremena, nema cekanja
svjetla pale se opet sad
nema vremena, nema cekanja
samo jedna je prilika",Avantura zove me,https://cuspajz.com//tekstovi-pjesama/pjesma/colonia/avantura-zove-me.html,Colonia,Avantura Zove Me,3:42,Special Dance Edition,2009.0,,,,2009.0-Special Dance Edition
6,QUgrhjBj_1_6,Colonia,Colonia,Barem da si malo moj,11438,"Opet sanjam
tako zelim da si tu
u mom krevetu

Gorim, ludim
mozda je slatko
sto si njen, pa si zabranjen
 
Ref. 4x
Barem da si malo moj

Kradom gledam
mozda ulovim sad taj
jedan pogled tvoj

Ref. 8x","https://tekstovi.net/2,140,38022.html",,,,,,,,,,,['Colonia'],,,https://diskografija.com/pjesma/barem-da-si-malo-moj-16279.htm,Barem da si malo moj,,,,,,,,,Colonia,Barem Da Si Malo Moj,,Tvrđava,,,,,nan-Tvrđava
7,QUgrhjBj_1_7,Colonia,Colonia,Bijela zastava,15043,"Ova je ljubav jos jedna bitka
izgubljena, srce je rusevina
kroz maglu i dim, kao ranjeni vojnik
bijela zastava u mojim rukama

I ostaje gorka spoznaja
samoce i ludila
moj najveci grijeh
duso, bio je neuspjeh
 
Ref. 2x
A dala sam ti zivot, dala sam ti sve
tebi podredila cijeli svijet
s tobom presla kamen, vodu
krivi i pravi put, sve je bilo uzalud

Ova je ljubav jos jedna bitka
izgubljena, srce je rusevina
kroz maglu i dim, kao ranjeni vojnik
bijela zastava u mojim rukama

I ostaje gorka spoznaja
samoce i ludila
moj najveci grijeh
duso, bio je neuspjeh

Ref. 2x

Ref. 2x","https://tekstovi.net/2,140,28921.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,,,,['Colonia'],,,https://diskografija.com/pjesma/bijela-zastava-14893.htm,Bijela zastava,,,,,,,,,Colonia,Bijela Zastava,4:10,X (Deset),,,,,nan-X (Deset)
8,QUgrhjBj_1_8,Colonia,Colonia,Bolja vremena,38049,"Sjecam se dana 
kad smo bili klinci ti i ja
dolje u predgradju 
iza svih onih nebodera

Bez brige, bez pameti, 
bez problema
bez svih ovih zivotnih dilema
bilo je vazno samo 
dobro zabavljati se
 
Ref. 2x
To, to su bila 
bolja vremena
to su bile godine

Sjecas se dana kad se zivot 
nije mjerio po cipelama
i ljudi nisu glumili 
u losim filmovima

Netko ti slomi srce, 
netko ga zalijeci
uvijek smo znali 
preko svakog mosta preci
bilo je slatko i ludo 
zabavljati se

Ref.","https://tekstovi.net/2,140,2540.html",,,,,,,,['Boris Đurđević'],['Boris Đurđević'],['Boris Đurđević'],['Colonia'],,,https://diskografija.com/pjesma/bolja-vremena-255.htm,Bolja vremena,,,,,,,,,Colonia,Bolja Vremena,3:00,Jača Nego Ikad,,,,,nan-Jača Nego Ikad/2003.0-The Best Of
9,QUgrhjBj_1_9,Colonia,Colonia,Brodolom,2077,"Otavaram oci u praznoj sobi
ovo mjesto vise nije dom
posvuda slike i tragovi tvoji
sjeca me na brodolom

Ljuta sam sto nije stao svijet
 
Ref.
Nema te, nema, usne su suhe
tako nedostajes mi
ja ne disem, ja ne zivim
samo cekam da prodje dan

Nema te, nema, oci su prazne
tako nedostajes mi
ja ne disem, ja ne zivim
samo cekam da prodje dan

Tisina je glasnija nego ikad
ovo mjesto vise nije dom
a nasa pjesma svira i dalje
sjeca me na brodolom

Ljuta sam sto nije stao svijet

Ref. 2x","https://tekstovi.net/2,140,57376.html",,,,,,,,,,,,,,,,,,,,,,,,Colonia,Brodolom,3:53,Nova Era,,,,,nan-Nova Era
10,QUgrhjBj_1_10,Colonia,Colonia,Budi mi zbogom,65416,"The DJ took pills to stay awake
and play for seven days

Kao da jos sanjam
godine odnose sve
po celu crtaju valove
ponekad se pitam
da li sam ikada ikog
voljela vise od tebe
 
I sva zadrhtim kad cujem tvoje ime
kad ugledam nekog ko lici na tebe
iz oka suze mi krenu
kad sjetim se rijeci sto rekao si

Ref.
Budi mi zbogom, moja mala
u srcu cuvam sve sto si mi dala
budi mi zbogom, moja mala
za svu tvoju ljubav zauvijek hvala

Kao da je moje srce
postalo pjesak na ulicama bez imena
i svaki osmijeh je maska na licu
pod kojom moram disati

I sva zadrhtim kad cujem tvoje ime
kad ugledam nekog ko lici na tebe
iz oka suze mi krenu
kad sjetim se rijeci sto rekao si

Ref.

Bila sam uvijek tvoja mala
u srcu cuvaj  sve sto sam ti dala
bila sam uvijek tvoja mala
za svu tvoju ljubav zauvijek hvala","https://tekstovi.net/2,140,6244.html",,,,,,,,['Boris Đurđević'],['Boris Đurđević'],['Boris Đurđević'],['Colonia'],2000 - Jača nego ikad,2002 - The best of volume 1,https://diskografija.com/pjesma/budi-mi-zbogom-252.htm,Budi mi zbogom,,,,,,,,,Colonia,Budi Mi Zbogom,4:09,Jača Nego Ikad,,,,,nan-Jača Nego Ikad/nan-The Best Of Volume 1/2003.0-The Best Of/2009.0-Special Dance Edition/nan-Retroactive Early Years/nan-C'est La Vie/0.0-The Best Of
11,QUgrhjBj_1_11,Colonia,Colonia,"Bye, bye",23125,"Uhvatim se nekad kako nisam svoja
znam da prema tebi mogu biti bolja
pojavi se neki strah u noci
znam da su u strahu velike oci

Razmisljam o tome ako jednom odes
a ja tada shvatim koliko te volim
koliko mi znaci 
sto te imam kraj sebe
ne zelim kraj
 
Ref. 2x
A ti kazes bye, bye
vise nema povratka
i zato bye, bye
kasno je za oprostaj

Uhvatim se nekad kako zborim svasta
i znam da to radi
samo pokvarena masta
al' pojavi se neki strah od samoce
zamrzne srce
i drzi dok ne prodje

Ref.","https://tekstovi.net/2,140,6245.html",,,,,,,,['Boris Đurđević'],['Boris Đurđević'],['Boris Đurđević'],['Colonia'],,,https://diskografija.com/pjesma/bye-bye-4333.htm,Bye bye,,,,,,"Uhvatim se nekad
kako nisam svoja
znam da prema tebi mogu
biti bolja

Pojavi se neki strah u noci
znas da su u strahu velike oci
Razmisljam o tome ako
jednom odes
a ja tada shvatim koliko
te volim, koliko mi znaci sto te
imam kraj sebe
ne zelim kraj

A ti kazes bye bye
vise nema povratka
... i zato bye bye",Bye bye,https://cuspajz.com//tekstovi-pjesama/pjesma/colonia/bye-bye.html,Colonia,"Bye, Bye",,The Best Of,2003.0,,,,2003.0-The Best Of
12,QUgrhjBj_1_12,Colonia,Colonia,C'est la vie,32571,"Jos jednom hvala ti za sve
hvala sto postojis kraj mene
uvijek si bio svjetlo
ispred mojih koraka

Jer kako pronaci put
kad sve se vrti u krug
kao carousel
 
I kako pronaci put
kad dobro i lose se dogodi
bez razloga, u isti tren

Ref.
C'est la vie i ljubav i bol
kad osjetis kao da nema nade
zagrli me, utjesi me
jer dok je tebe ja cu disati

C'est la vie i ljubav i bol
povedi me kroz ove hodnike tame
zagrli me, utjesi me
jer dok je tebe ja cu disati

Zivot je more sto nas baca
tvrdim hridima, dubinama
uvijek si bio mome srcu
luka sigurna

Jer kako pronaci put
kad sve se vrti u krug
kao carousel

I kako pronaci put
kad dobro i lose se dogodi
bez razloga, u isti tren

Ref.","https://tekstovi.net/2,140,1563.html",,,,,,,,['Boris Đurđević'],['Boris Đurđević'],['Boris Đurđević'],['Colonia'],2003 - Dolazi oluja,2003 - Hrvatski Radijski Festival 2003,https://diskografija.com/pjesma/c-est-la-vie-1740.htm,C'est la vie,2003 - Hrvatski Radijski Festival 2003 - 20 najboljih,2005 - Gold edition,2005 - Gold edition - remix,,,,,,Colonia,C'est La Vie,4:07,Dolazi Oluja,,,,,nan-Dolazi Oluja/nan-Dolazi Oluja/2005.0-The Best Of/2013.0-Komplet 4 CDa/2014.0-The Best Of Collection
13,QUgrhjBj_1_13,Colonia,Colonia,Covjek s dva lica,48407,"Odavno dozivjela nisam neku lijepu gestu
sto bi ucinio da si na mome mjestu
nemas takta ni stila, vec dugo borim se s tim
ako ikad poludim, znaj da ti si kriv

Ti si potpuni stranac
vise te ne poznam
hajde, reci vec jednom
reci u cemu je stvar
 
Ref.
Ti si covjek s dva lica
ti si samo kukavica
ili me voli, ili me ostavi
ti si covjek s dva lica
ti si samo varalica
ili me voli, ili zaboravi

I za koga sam isplakala
sve one besane noci
da bar mozes pogledat' sve
kroz moje oci

Ref. 2x","https://tekstovi.net/2,140,26979.html",,,,,,,https://lyricstranslate.com/en/language/english-artists,,,,,,,,,,,,,,"Odavno doživjela nisam neku lijepu gestu
što bi učinio da si na mome mjestu
nemaš takta ni stila, već dugo borim se s tim
ako ikad poludim, znaj da ti si kriv

Ti si potpuni stranac
više te ne poznam
hajde, reci već jednom
reci u čemu je stvar

Ti si čovjek s dva lica
ti si samo kukavica
ili me voli, ili me ostavi
ti si čovjek s dva lica
ti si samo varalica
ili me voli, ili zaboravi

I za koga sam isplakala
sve one besane noći
da bar možeš pogledat' sve
kroz moje oči",Čovjek s dva lica,https://cuspajz.com//tekstovi-pjesama/pjesma/colonia/covjek-s-dva-lica.html,,,,,,,,,
14,QUgrhjBj_1_14,Colonia,Colonia,Crveni ruz,6314,"Zadnji naklon iza zastora
to je to, gotova je predstava
koliko vrijedim, napokon znam
imam osmijeh od milijun dolara

Crveni ruz na usnama
jer ja nisam vise robinja
tudjih grijeha, laznih glasova
mokrih suza s tudjih jastuka
 
Ref. 2x
Ja sam heroina
u meni snage ima
za sve sto nosi novi dan

U sebe sigurna
bas u inat svima
svoju ljubav uzimam

Zadnji trag finog pudera
lice i tijelo vise ne skrivam
skidam maske, zivot osijecam
kako je lijepo opet biti slobodan

Ref. 2x

Ref. 2x","https://tekstovi.net/2,140,47791.html","Boris Durdevic, Valerija Durdevic",Crveni ruž,Red lipstick,,"Zadnji naklon iza zastora,
1
to je to, gotova je predstava.
Koliko vrijedim napokon znam,
imam osmijeh od milion dolara.. Crveni ruž na usnama,
jer ja nisam vise robinja..
Tuđih grijeha, lažnih glasova,
mokrih suza s tuđih jastuka.. Refren:
Ja sam heroina u meni snage ima
za sve što nosi novi dan.
U sebe sigurna baš u inat svima
svoju ljubav uzimam. 2x. Zadnji trag finog pudera,
lice i tijelo više ne skriva.
Skidam maske život osjećam,
kako je lijepo opet biti slobodna.. Crveni ruž na usnama,
jer ja nisam vise robinja..
Tuđih grijeha, lažnih glasova,
mokrih suza s tuđih jastuka.. Refren:
Ja sam heroina u meni snage ima
za sve što nosi novi dan.
U sebe sigurna baš u inat svima
svoju ljubav uzimam. 2x. Crveni ruž na usnama,
jer ja nisam vise robinja..
Tuđih grijeha, lažnih glasova,
mokrih suza s tuđih jastuka.. Refren:
Ja sam heroina u meni snage ima
za sve što nosi novi dan.
U sebe sigurna baš u inat svima
svoju ljubav uzimam. 2x","The last bow behind the curtain
that's it, the show's over.
I finally know how much I am worth,
I have the smile of the million dollars. Red lipstick on the lips
because I am not a slave any more.
Of the other's sins, of the false rumors
of the wet tears from the someone else's pilows. Ref.
I am a heroine there is strnght in me
for everything that new day brings
I am confident in myself in spite to everybody
I take mine love. 2x. The last trace of the fine powder
no longer hides the face and the body
I am putting off masks, I feel the life
how nice is to be free again",https://lyricstranslate.com/en/crveni-ruz-red-lipstick.html-1,,,,['Colonia'],,,https://diskografija.com/pjesma/crveni-ruz-24797.htm,Crveni ruž,,,,,,,,,Colonia,Crveni Ruž,,Feniks,,,,,nan-Feniks
15,QUgrhjBj_1_15,Colonia,Colonia,Daj mi 5 minuta,15304,"Sanjam te dugo moja tugo
to vec znaju svi
ti si sretan s njom
na licu vidim ti

I znam da dobri smo prijatelji
izmedju jave i sna izgubljeni
sve je u redu sto puta ti kazem
a istina je da te lazem
 
  Ref:
Daj mi 5 minuta
daj mi samo tren
zaboravit ces da si bio njen
pokazat cu ti svijet
pokazat cu ti vatromet 

Skrivamo pogled jedno od drugog
to vec znaju svi
ali smo probali ljubav
nismo varali

Ref:","https://tekstovi.net/2,140,30356.html",,,,,,,,,,,['Colonia'],,,https://diskografija.com/pjesma/daj-mi-5-minuta-14891.htm,Daj mi 5 minuta,,,,,,,,,Colonia,Daj Mi 5 Minuta,3:41,X (Deset),,,,,nan-X (Deset)
16,QUgrhjBj_1_16,Colonia,Colonia,"Daj, daj",18153,"Ti si moja glazba
moja omiljena pjesma
moja radost, moja ceznja
svega tog sam svijesna

Tek onda kad nas sati razdvoje
kad me tvoje usne ne ljube
ti si moj put
moja jednosmjerna cesta
u mome srcu nema
za nikog drugog mjesta
 
I onda kad nas sati razdvoje
shvatim da ne mogu bez tebe

Ref. 2x
Daj, daj, malo sebe mi daj
tako volim taj osjecaj
dok treperim pod prstima tvojim
da ti kazem da te ludo volim

Ti si moja sreca
istina i tajna
moja proslost i buducnost
moja zvijezda sjajna

Ref. 2x","https://tekstovi.net/2,140,29622.html",,,,,,,,,,,['Colonia'],,,https://diskografija.com/pjesma/daj-daj-14894.htm,Daj daj,,,,,,,,,Colonia,Daj Daj,3:38,X (Deset),,,,,nan-X (Deset)
17,QUgrhjBj_1_17,Colonia,Colonia,Daleko od oka,1437,"Kada zbrojim dane i godine
naseg zivota
bilo je kao u filmu i proslo je
u jednom treptaju oka

Da li pamtis moje poljupce
meni su ostali tvoji
ali slatko gorkog okusa
oko srece i boli
 
I sada kada te pogledam
i sada vise te ne poznam

Ref.
Ti si drugi covjek
ja sam druga zena
odvele nas ceste
ti na sjever, ja na jug

Jer daleko od oka
daleko od srca
svako za svojim suncem
svako je nasao svoj put

Kada zbrojim dane i godine
naseg zivota
bila je luda voznja i prosla je
u jednom treptaju oka

Ref.

I sada kada te pogledam
i sada vise te ne poznam

Ref.","https://tekstovi.net/2,140,57384.html",,,,,,,,,,,,,,,,,,,,,,,,Colonia,Daleko Od Oka,3:54,Nova Era,,,,,nan-Nova Era
