Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By_discogs,Music By_discogs,Written-By_discogs,Adapted By (Text)_discogs,Backing Vocals_discogs,Synthesizer [Oberheim]_discogs,Arranged By_discogs,Voice_discogs,Rap_discogs,Keyboards_discogs,Vocals [Guest]_discogs,Accordion_discogs,Vocals_discogs,Music By [Opening Theme]_discogs,Written By_discogs,Vocals [Sample]_discogs,Voice [Sample]_discogs,Voice [Ukrainian]_discogs,Violin_discogs,Cello_discogs,Conductor_discogs,Arranged By [Strings]_discogs,Viola_discogs,Drums_discogs,Trumpet_discogs,Album_year_title_discogs,All_albums_discogs
Zabranjeno Pušenje,Zabranjeno Pušenje,Ja Imam Kuhinju,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas/nan-Dok Čekaš Sabah Sa Šejtanom
Zabranjeno Pušenje,Zabranjeno Pušenje,Brut,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas/nan-Dok Čekaš Sabah Sa Šejtanom
Zabranjeno Pušenje,Zabranjeno Pušenje,Put U Središte Rudnika,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas
Zabranjeno Pušenje,Zabranjeno Pušenje,Šejn-Borac Za Pravdu,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas
Zabranjeno Pušenje,Zabranjeno Pušenje,Čejeni Odlaze,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas
Zabranjeno Pušenje,Zabranjeno Pušenje,Neću Da Budem Švabo,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas/nan-Najveći Hitovi/nan-The Best Of  Vol. 1
Zabranjeno Pušenje,Zabranjeno Pušenje,Anarhija All Over Baščaršija,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas/nan-Das Ist Walter/nan-Najveći Hitovi/nan-Na Straži Pored Prizrena/2009.0-The Ultimate Collection/nan-The Best Of/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Abid,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,"1983.0-Grupa Za Vas/nan-Das Ist Walter/nan-Najveći Hitovi/nan-Srce, Ruke I Lopata /Najveći Hitovi/ 2/nan-Kanjon Drine/nan-The Best Of  Vol. 1/0.0-Das Ist Walter"
Zabranjeno Pušenje,Zabranjeno Pušenje,Sanjao Sam Noćas Da Te Imam,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas/nan-Dok Čekaš Sabah Sa Šejtanom/nan-The Best Of  Vol. 1
Zabranjeno Pušenje,Zabranjeno Pušenje,Penzioneri Na More Idu Zimi,,Grupa Za Vas,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,1983.0-Grupa Za Vas,1983.0-Grupa Za Vas
Zabranjeno Pušenje,Zabranjeno Pušenje,Neću Da Budem Švabo (U Dotiranom Filmu),2:30,Neću Da Budem Švabo (U Dotiranom Filmu) / Pamtim To Kao Da Je Bilo Danas / Zenica Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Neću Da Budem Švabo (U Dotiranom Filmu) / Pamtim To Kao Da Je Bilo Danas / Zenica Blues,nan-Neću Da Budem Švabo (U Dotiranom Filmu) / Pamtim To Kao Da Je Bilo Danas / Zenica Blues
Zabranjeno Pušenje,Zabranjeno Pušenje,Pamtim To Kao Da Je Bilo Danas,2:07,Neću Da Budem Švabo (U Dotiranom Filmu) / Pamtim To Kao Da Je Bilo Danas / Zenica Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Neću Da Budem Švabo (U Dotiranom Filmu) / Pamtim To Kao Da Je Bilo Danas / Zenica Blues,nan-Neću Da Budem Švabo (U Dotiranom Filmu) / Pamtim To Kao Da Je Bilo Danas / Zenica Blues/nan-Das Ist Walter/nan-The Best Of  Vol. 1/2009.0-The Ultimate Collection/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Uvod (Tema Iz Filma „Valter Brani Sarajevo“),1:30,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,nan-Das Ist Walter/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Put U Središte Rudnika Kreka Banovići,2:07,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,nan-Das Ist Walter/nan-Najveći Hitovi/nan-The Best Of  Vol. 1/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,"Selena, Vrati Se, Selena",4:03,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,nan-Das Ist Walter/nan-The Best Of  Vol. 1/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Neću Da Budem Švabo U Dotiranom Filmu,2:30,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,"nan-Das Ist Walter/nan-Srce, Ruke I Lopata /Najveći Hitovi/ 2/0.0-Das Ist Walter"
Zabranjeno Pušenje,Zabranjeno Pušenje,Šeki Is On The Road Again,3:35,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,nan-Das Ist Walter/nan-Najveći Hitovi/nan-Na Straži Pored Prizrena/nan-The Best Of  Vol. 1/nan-Hapsi Sve!/2009.0-The Ultimate Collection/nan-The Best Of/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Kino „Prvi Maj“,4:09,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,nan-Das Ist Walter/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Zenica Blues,2:27,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,"nan-Das Ist Walter/nan-Najveći Hitovi/nan-Nikad Robom, Vazda Taksijem - Najveći Hitovi '84.-'89. (The Best Of)/nan-Kanjon Drine/nan-The Best Of  Vol. 1/nan-Hapsi Sve!/nan-Live In St. Louis/2009.0-The Ultimate Collection/nan-The Best Of/0.0-Das Ist Walter"
Zabranjeno Pušenje,Zabranjeno Pušenje,Čejeni Odlaze...,4:13,Das Ist Walter,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Das Ist Walter,nan-Das Ist Walter/0.0-Das Ist Walter
Zabranjeno Pušenje,Zabranjeno Pušenje,Stanje Šoka,3:10,Stanje Šoka / Radost Prvog Žita,1985.0,Dr. Nele Karajlić,Sejo Sexon,,,,,,,,,,,,,,,,,,,,,,,,1985.0-Stanje Šoka / Radost Prvog Žita,1985.0-Stanje Šoka / Radost Prvog Žita/nan-Dok Čekaš Sabah Sa Šejtanom/nan-Najveći Hitovi/nan-Kanjon Drine/nan-The Best Of  Vol. 1/2009.0-The Ultimate Collection/nan-The Best Of
Zabranjeno Pušenje,Zabranjeno Pušenje,Radost Prvog Žita,3:34,Stanje Šoka / Radost Prvog Žita,1985.0,,,Ogi Gajić,,,,,,,,,,,,,,,,,,,,,,,1985.0-Stanje Šoka / Radost Prvog Žita,1985.0-Stanje Šoka / Radost Prvog Žita/nan-Dok Čekaš Sabah Sa Šejtanom/nan-The Best Of  Vol. 1
Zabranjeno Pušenje,Zabranjeno Pušenje,Ibro Dirka,3:20,Ibro Dirka / Djevojčice Kojima Miriše Koža,1985.0,,,Sejo Sexon,,,,,,,,,,,,,,,,,,,,,,,1985.0-Ibro Dirka / Djevojčice Kojima Miriše Koža,"1985.0-Ibro Dirka / Djevojčice Kojima Miriše Koža/nan-Dok Čekaš Sabah Sa Šejtanom/nan-Najveći Hitovi/nan-Nikad Robom, Vazda Taksijem - Najveći Hitovi '84.-'89. (The Best Of)/nan-Kanjon Drine/nan-The Best Of  Vol. 1/nan-Hapsi Sve!/2009.0-The Ultimate Collection/nan-The Best Of"
Zabranjeno Pušenje,Zabranjeno Pušenje,Djevojčice Kojima Miriše Koža,3:51,Ibro Dirka / Djevojčice Kojima Miriše Koža,1985.0,,,Sejo Sexon,,,,,,,,,,,,,,,,,,,,,,,1985.0-Ibro Dirka / Djevojčice Kojima Miriše Koža,1985.0-Ibro Dirka / Djevojčice Kojima Miriše Koža/nan-Dok Čekaš Sabah Sa Šejtanom/nan-Najveći Hitovi/nan-Kanjon Drine/nan-The Best Of  Vol. 1/2009.0-The Ultimate Collection
Zabranjeno Pušenje,Zabranjeno Pušenje,Lutka Sa Naslovne Strane,3:32,Dok Čekaš Sabah Sa Šejtanom,,Sejo Sexon,Munja Mitić,,,,,,,,,,,,,,,,,,,,,,,,nan-Dok Čekaš Sabah Sa Šejtanom,nan-Dok Čekaš Sabah Sa Šejtanom/nan-Kanjon Drine/nan-The Best Of  Vol. 1/nan-Hapsi Sve!/2009.0-The Ultimate Collection/nan-The Best Of
Zabranjeno Pušenje,Zabranjeno Pušenje,Dok Čekaš Sabah Sa Šejtanom,4:43,Dok Čekaš Sabah Sa Šejtanom,,Dr. Nele Karajlić,Sejo Sexon,,,,,,,,,,,,,,,,,,,,,,,,nan-Dok Čekaš Sabah Sa Šejtanom,"nan-Dok Čekaš Sabah Sa Šejtanom/nan-Najveći Hitovi/nan-Srce, Ruke I Lopata /Najveći Hitovi/ 2/nan-The Best Of  Vol. 1/nan-Live In St. Louis/2009.0-The Ultimate Collection/nan-The Best Of"
Zabranjeno Pušenje,Zabranjeno Pušenje,Dok Jezdiš Ka Alemanji,3:07,Dok Čekaš Sabah Sa Šejtanom,,Sejo Sexon,Seid Mali Karajlić,,,,,,,,,,,,,,,,,,,,,,,,nan-Dok Čekaš Sabah Sa Šejtanom,nan-Dok Čekaš Sabah Sa Šejtanom
Zabranjeno Pušenje,Zabranjeno Pušenje,Ne Me Quitte Pas,0:10,Dok Čekaš Sabah Sa Šejtanom,,,,Jacques Brel,Fu-do Đozić,,,,,,,,,,,,,,,,,,,,,,nan-Dok Čekaš Sabah Sa Šejtanom,nan-Dok Čekaš Sabah Sa Šejtanom
Zabranjeno Pušenje,Zabranjeno Pušenje,Učini Da Budem Vuk,3:40,Dok Čekaš Sabah Sa Šejtanom,,Dr. Nele Karajlić,Zoran Degan,,,,,,,,,,,,,,,,,,,,,,,,nan-Dok Čekaš Sabah Sa Šejtanom,nan-Dok Čekaš Sabah Sa Šejtanom/nan-The Best Of  Vol. 1
Zabranjeno Pušenje,Zabranjeno Pušenje,Baš - Čelik (Prvi Dio),2:25,Dok Čekaš Sabah Sa Šejtanom,,Jure Kaštelan,Sejo Sexon,,,Senad Od Bosne,Stanko Juzbašić,,,,,,,,,,,,,,,,,,,,nan-Dok Čekaš Sabah Sa Šejtanom,nan-Dok Čekaš Sabah Sa Šejtanom
