Song_ID,Artist,Artist_diskografija,Song_tekstovinet,Views_tekstovinet,Lyrics_tekstovinet,Url_tekstovinet,Writer_lyricstranslate,Song_lyricstranslate,EngTitle_lyricstranslate,Album_lyricstranslate,Lyrics_lyricstranslate,EngLyrics_lyricstranslate,Url_lyricstranslate,Skladba_diskografija,Stihovi_diskografija,Aranžman_diskografija,Izvedba_diskografija,Album_1_diskografija,Album_2_diskografija,Url_diskografija,Song_diskografija,Album_3_diskografija,Album_4_diskografija,Album_5_diskografija,Album_6_diskografija,Album_7_diskografija,Album_8_diskografija,Album_9_diskografija,Album_10_diskografija,Album_11_diskografija,Album_12_diskografija,Album_13_diskografija,Album_14_diskografija,Album_15_diskografija,Album_16_diskografija,Album_17_diskografija,Album_18_diskografija,Album_19_diskografija,Lyrics_cuspajz,Song_cuspajz,Url_cuspajz,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Music By_discogs,Album_title_discogs,Album_year_discogs,Featuring_discogs,All_albums_discogs
zT3Xu5sD_1_0,Mišo Kovač,Mate Mišo Kovač,A kad se tebi opet vratim,586,"Daleko, od mene
daleko si, dome moj
o, draga, daleko
daleko je zivot moj

Ti ne znas da placem
da placem zbog tebe ja
ti ne znas da mislim
da mislim na tebe ja
 
Ref.2x 
A kad se tebi opet vratim
ja bit cu samo, samo tvoj
proci ce ovi pusti dani
uz tebe bit ce zivot moj

Jos malo tih dana
jos malo, dugo to traje
jos malo tih noci
bez tebe ne zelim dalje

U svakom si danu
i noci zivota mog
u svakom se trenu
ja sjecam tog lika tvog

Ref. 2x

Uz tebe bit ce zivot moj","https://tekstovi.net/2,692,63166.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zT3Xu5sD_1_1,Mišo Kovač,Mate Mišo Kovač,Adios amor,1272,"Jednom ces shvatiti
da smo se voljeli
snove o ljubavi
mozda si sad izgubila ti

Jednom ces pitati
da l' ce se vratiti
svi dani radosti
koje smo sad izgubili mi
 
Ref. 3x
Idi, ne zali me
mahni rukom, zaboravi sve
ne okreci se, manja je bol
adio, adios, adios amor

Nema sretne ljubavi
to smo znali mi
ako jednom sretnem te
nemoj prici, ne

Ref. 3x","https://tekstovi.net/2,692,60164.html",,,,,,,https://lyricstranslate.com/en/english-children-songs-lyrics.html,['T. Shultzieg'],"['Željko Sabol', 'K. Feltz']","['Mato Došen', 'Slobodan M. Kovačević', 'T. Shultzieg']",['Mate Mišo Kovač'],1983 - Osjećam te,2004 - Zabavni megamix,https://diskografija.com/pjesma/adios-amor-11671.htm,Adios amor,,,,,,,,,,,,,,,,,,,,,Mišo Kovač,Adios Amor,,,Tex Shultzieg,Osjećam Te,,,nan-Osjećam Te
zT3Xu5sD_1_2,Mišo Kovač,Mate Mišo Kovač,Ako me ostavis,113769,"Samo jednom ljubav pokuca na vrata
da te rani ceznjom i gorcinom
da te vodi k'o pticu bez jata
da te tjesi vinom

Samo jednom ljubav pokuca na vrata
da ti pruzi snove i ljepotu
da ti stavi okove od zlata
jednom u zivotu
 
Ref.
Ako me ostavis, kad pozelis kraj
i nebo ce plakati, izgubit' ce sjaj
ako me ostavis, ne rusi grubo sve
pusti da vjerujem da voljela si me

Ref.","https://tekstovi.net/2,692,18412.html","Dorde Novkovic, Zeljko Pavicic, Trio Gust",Ako me ostaviš,If you leave me,,"Samo jednom ljubav pokuca na vrata,
1
Da te rani čežnjom i gorčinom,
Da te vodi ko' pticu bez jata,
Da te tješi vinom.. Samo jednom ljubav pokuca na vrata,
Da ti pruži snove i ljepotu,
Da ti stavi okove od zlata,
Jednom u životu.... Ako me ostaviš, kad poželiš kraj,
I nebo će plakati, izgubit će sjaj.
Ako me ostaviš, ne ruši drugo sve,
Pusti da vjerujem da voljela si me.. Samo jednom ljubav pokuca na vrata,
Da ti pruži snove i ljepotu,
Da ti stavi okove od zlata,
Jednom u životu.... Ako me ostaviš, kad poželiš kraj,
I nebo će plakati, izgubit će sjaj,
Ako me ostaviš, ne ruši drugo sve,
Pusti da vjerujem da voljela si me.","Only once in life, love knocks at your door
to torture you with longing and hurting
to lead you astray, like a bird without its flock
to comfort you with wine.. Only once life love knocks at your door
to offer you dreams and beauty
to give you golden handcuffs
once in life. If you leave me, when you start longing for the end
Even the skies will cry, they'll lose their shine
If you leave me, don't tear down everything
Leave me with to believe, that you once loved me. Only once life love knocks on your door
to offer you dreams and beauty
to give you golden handcuffs
once in life. If you leave me, when you start longing for the end
Even the skies will cry, they'll lose their shine
If you leave me, don't tear down everything
Leave me with the belief, that you once loved me",https://lyricstranslate.com/en/ako-me-ostavis-if-you-leave-me.html-0,['Đorđe Novković'],"['Željko Pavičić', 'Dragana Stanić']",['Mato Došen'],['Mate Mišo Kovač'],1986 - Ti si pjesma moje duše,1988 - Koncert - uživo,https://diskografija.com/pjesma/ako-me-ostavis-7904.htm,Ako me ostaviš,1991 - Grobovi im nikad oprostiti neće,2002 - Zvuk osamdesetih Zabavna i Pop 1986 - 1987,2003 - Najdraže pjesme Miše Kovača,2004 - Zabavni megamix,2005 - Mišo u Šibeniku - uživo,2006 - The platinum collection,2007 - Đorđe Novković - Gold collection,2007 - Da te mogu pismom zvati - Libar VIII,2007 - Live collection - uživo,,,,,,,,,"Samo jednom ljubav pokuca na vrata
Da te rani čežnjom i gorčinom
Da te vodi ko`pticu bez jata;
Da te tješi vinom.

Ako me ostaviš, kad poželiš kraj
I nebo će plakati, izgubit će sjaj.
Ako me ostaviš, ne ruši drugo sve.
Pusti da vjerujem da voljela si me.

Samo jednom ljubav pokuca na vrata
Da ti pruži snove i ljepotu.
Da ti stavi okove od zlata
Jednom u životu.",Ako me ostaviš,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-me-ostavis.html,Mišo Kovač,Ako Me Ostaviš,5:25,Željko Pavičić,,Ti Si Pjesma Moje Duše,,,nan-Ti Si Pjesma Moje Duše/1987.0-Ti Si Pjesma Moje Duše/nan-Koncert/nan-Grobovi Im Nikad Oprostiti Neće/nan-Najdraže Pjesme Miše Kovača/2005.0-Mišo U Šibeniku/2005.0-Mišo U Šibeniku/2005.0-Mišo U Šibeniku/2006.0-The Platinum Collection/2009.0-Jedan Dan Života - Live Collection/2010.0-Najljepše Ljubavne Pjesme/2012.0-100 Originalnih Hitova/nan-The Best Of Collection
zT3Xu5sD_1_3,Mišo Kovač,Mate Mišo Kovač,Ako sam ikad ljubav dao,5896,"Ako sam ikad ljubav dao
s dusom sam ti osmijeh krao
od tvog tvrdog, kamenog ti srca
kod ljudi sam suze sakriti znao

Ako te ikad u snu budi
topla ruka il' jecaj gitare
to je tvoja prokleta oluja
sto u mojim venama
jos uvijek traje
 
Ref.
Ako sada odes
ne vracaj se vise
stavi drugom ruke oko vrata

Al' sjetit' ces se
tada, moja mila
da si samo sa mnom sretna bila

Ref.","https://tekstovi.net/2,692,43211.html",,,,,,,,['Petar Crljen'],['Petar Crljen'],['Dejan Parmak'],['Mate Mišo Kovač'],,,https://diskografija.com/pjesma/ako-sam-ikad-ljubav-dao-11878.htm,Ako sam ikad ljubav dao,,,,,,,,,,,,,,,,,,"Ako sam ikad ljubav dao
S dušom sam ti osmijeh krao
Od tvog tvrdog kamenog ti srca
Kod ljudi sam suze sakriti znao

Ako te ikad u snu budi
Topla ruka il' jecaj gitare
To je tvoja porokleta oluja
Što u mojim venama još uvijek traje

Ako sada odeš ne vraćaj se više
Stavi drugom ruke oko vrata

Al' sjetit ćeš se tada moja mila
Da si samo sa mnom sretna bila",Ako sam ikad ljubav dao,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-sam-ikad-ljubav-dao.html,Mišo Kovač,Ako Sam Ikad Ljubav Dao,,,,Mojoj Vjernoj Publici,,,nan-Mojoj Vjernoj Publici
zT3Xu5sD_1_4,Mišo Kovač,Mate Mišo Kovač,"Ako tvoja dusa, moju pjesmu slusa",7872,"Put me vodi tebi iz daleka
placu zvona, ja ih cujem jasno
slutim vise nitko me ne ceka
oprosti mi, stigao sam kasno

Ref.
Ako tvoja dusa, moju pjesmu slusa
negdje iza zvijezda dok joj palim svijecu
ako tvoja dusa, moju pjesmu slusa
negdje iza zvijezda dok joj palim svijecu
neka zna da te nikad, zaboravit necu
 
Uzalud je samo tebe zvati
nema nikog da mi dusu grije
ko ce meni mjesto sunca sjati
zasto nebo pricekalo nije

Ref.","https://tekstovi.net/2,692,43173.html",,,,,,,,['Dušan Šarac'],['Željko Pavičić'],['Branko Glavan'],['Mate Mišo Kovač'],1989 - Suza nebeska,1994 - Pjesma za Edija,https://diskografija.com/pjesma/ako-tvoja-dusa-moju-pjesmu-slusa-11830.htm,"Ako tvoja duša, moju pjesmu sluša",,,,,,,,,,,,,,,,,,"Put me vodi tebi izdaleka 
plaču zvona ja ih čujem jasno
slutim više nitko me ne čeka,
oprostim mi, stigao sam kasno

Ako tvoja duša moju pjesmu sluša
Negdje iza zvijezda dok joj palim svijeću
Ako tvoja duša moju pjesmu sluša
Negdje iza zvijezda dok joj palim svijeću
Neka zna da te nikad zaboravit neću

Uzalud je sada tebe zvati 
nema nikog da mi dušu grije
ko će meni mjesto sunca sjati
zašto nebo pričekalo nije 

Ako tvoja duša moju pjesmu sluša
Negdje iza zvijezda dok joj palim svijeću
Ako tvoja duša moju pjesmu sluša
Negdje iza zvijezda dok joj palim svijeću
Neka zna da te nikad zaboravit neću
",Ako tvoja duša moju pjesmu sluša,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/ako-tvoja-dusa-moju-pjesmu-slusa.html,Mišo Kovač,"Ako Tvoja Duša, Moju Pjesmu Sluša",2:41,Željko Pavičić,Dušan Šarac,Suza Nebeska,,,nan-Suza Nebeska
zT3Xu5sD_1_5,Mišo Kovač,Mate Mišo Kovač,Bez rastanka suza nema,1082,"Ostavljam te opet samu
odlazim u noc i tamu
pozdravi me tvoji prate
gdje su zore da se vrate 

Ref.
Bez rastanka suza nema
ja ih skrivam, one teku
isplaci se, srce moje
pusti suze neka teku  
 
Bez rastanka suza nema
ja ih skrivam, oci bole
isplaci se, srce moje
za sve one sto se vole 

Ostavljam te u toj noci
tko zna kad cu natrag doci
zagrljaji tvoji zovu
kako svladat' tugu ovu  

Ref.","https://tekstovi.net/2,692,60166.html",,,,,,,,['Đorđe Novković'],['Željko Sabol'],,['Mate Mišo Kovač'],1976 - Najveći uspjesi 2,"2003 - Najveći hitovi
Aranžman: Stipica Kalogjera",https://diskografija.com/pjesma/bez-rastanka-suza-nema-5434.htm,Bez rastanka suza nema,2004 - Zabavni megamix,"2010 - Sve najbolje, originalne snimke",,,,,,,,,,,,,,,,"Ostavljam te opet samu
odlazim u noć i tamu.
Pozdravi me tvoji prate
gdje su zore da se vrate.
Pozdravi me tvoji prate
gdje su zore da se vrate.

Bez rastanka suza nema
ja ih skrivam one teku.
Isplači se srce moje
pusti suze neka teku.

Bez rastanka suza nema
ja ih skrivam oči bole
Isplači se srce moje
za sve one što se vole.

Ostavljam te u toj noći
tko zna kad ću natrag opet doći.
Zagrljaji tvoji zovu
kako svladat tugu ovu.
Zagrljaji tvoji zovu
kako svladat tugu ovu.
",Bez rastanka suza nema,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bez-rastanka-suza-nema.html,Mišo Kovač,Bez Rastanka Suza Nema,,,Đorđe Novković,Bez Rastanka Suza Nema,,,nan-Bez Rastanka Suza Nema/1978.0-Najveći Uspjesi 2./nan-Najveći Uspjesi Četvorice Najvećih/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/2003.0-Najveći Hitovi/2010.0-Sve Najbolje
zT3Xu5sD_1_6,Mišo Kovač,Mate Mišo Kovač,Bijela ladja,382,"Evo ti pjesmo vracam
sve sto si meni dala
premda je tesko, shvacam
ljubav je prestala

Ref.
Bijela me nosi ladja
u dalek tudji svijet
ostavljam tebe, draga
zivota moga cvijet
 
Uzalud dan se radja
kad meni neces sjat´
jedino sunce iz oka tvoga
srecu mi moze dat´

Na svijetu srece nema
ruke mi pruzas, tugo
kisa se tvoja sprema
na cvijece uvelo

Ref. 2x","https://tekstovi.net/2,692,63130.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evo ti pjesmom vraćam,
sve što si meni dala,
premda je teško shvaćam,
ljubav je prestala.

Bijela me nosi lađa
u dalek tuđi svijet,
ostavljam tebe draga,
života moga cvijet.
Uzalud dan se rađa,
kad meni neće sjat.

Jedino sunce iz oka
tvoga sreću mi može dat.

Na svijetu sreće nema,
ruke mi pružaš tugo,
kiša se tvoja sprema
na cvijeće uvelo.

Bijela me nosi lađa
u dalek tuđi svijet,
ostavljam tebe draga,
života moga cvijet.
Uzalud dan se rađa,
kad meni neće sjat.

Jedino sunce iz oka
tvoga sreću mi može dat.",Bijela lađa,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bijela-ladja.html,Mišo Kovač,Bijela Lađa,3:43,Tomislav Zuppa,Zdenko Runjić,Bijela Lađa,1973.0,,1973.0-Bijela Lađa/nan-Portret/1987.0-Najljepše Pjesme 2/nan-Najljepše Pjesme/2003.0-Najveći Hitovi
zT3Xu5sD_1_7,Mišo Kovač,Mate Mišo Kovač,Bili ! Bili !,366,"Ref. 2x
Bili! Bili!

Tu, ispod murve stare
dom mu je prvi bio
kraj nje je svoje slavno 
ime on dobio
 
Hajduk je ponos grada
uz Palace i Marjan, hej
gdje Hajduk s loptom vlada
za Split znade cijeli svijet

Tradiciju i slavu nosi
svog sunca i mora znak
po bijeloj, plavoj njegovoj boji
Hajduka pozna sva´k

Ref. 2x

Visoko nosi ime
to mladost mu je dala
i vjerna svome Gradu
zauvijek ostala

Ref. 2x","https://tekstovi.net/2,692,63167.html",,,,,,,,,,,['Mate Mišo Kovač'],,,https://diskografija.com/pjesma/bili-bili-14947.htm,"Bili, bili",,,,,,,,,,,,,,,,,,,,,Mišo Kovač,Bili! Bili!,2:42,,,"Bili! Bili! / Marjane, Marjane",1973.0,,"1973.0-Bili! Bili! / Marjane, Marjane"
zT3Xu5sD_1_8,Mišo Kovač,Mate Mišo Kovač,Bit' cu daleko,312,"Netko ljubi usne tvoje
netko mrsi kose tvoje
netko znaci tebi sve
dok ja patim, smijes se

Ref. 2x
Al' dan ce doci taj
kad gorko plakat' ti ces, znaj
kad volit' ces me ti
daleko bit' cu, ljubavi
 
Ti si znala da bi vrijeme
lakse proslo ti uz mene
mada, nisam samo tvoj
zar je uvijek vazno to

Ref. 2x","https://tekstovi.net/2,692,64033.html",,,,,,,,['Dušan Šarac'],['Dušan Šarac'],,['Mate Mišo Kovač'],1973 - Portret,1975 - Najveći uspjesi 1,https://diskografija.com/pjesma/bit-cu-daleko-5454.htm,Bit ću daleko,"2004 - Najveći hitovi br.2
Aranžman: Stipica Kalogjera",,,,,,,,,,,,,,,,,"Netko ljubi usne tvoje
Netko mrsi kose tvoje
Netko znači tebi sve
Dok ja patim, smiješ se
Netko znači tebi sve
Dok ja patim, smiješ se

Al dan će doći taj
Kad gorko plakat ti, ćeš znaj
Kad molit ćeš me ti
Daleko bit ću ljubavi

Al dan će doći taj
Kad gorko plakat, ti ćeš znaj
Kad molit ćeš me ti
Daleko bit ću ljubavi

Nisi znala da bi vrijeme
Lakše prošlo ti uz mene
Mada nisam samo tvoj
Zar je uvijek važno to
Mada nisam samo tvoj
Zar je uvijek važno to

Al dan će doći taj
Kad gorko plakat ti, ćeš znaj
Kad molit ćeš me ti
Daleko bit ću ljubavi

Al dan će doći taj
Kad gorko plakat ti, ćeš znaj
Kad molit ćeš me ti
Daleko bit ću ljubavi
",Bit ću daleko,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/bit-cu-daleko.html,Mišo Kovač,Bit Ću Daleko,,,,Bit Ću Daleko,,,nan-Bit Ću Daleko/nan-Portret/nan-Najveći Uspjesi 1./nan-Mišo Kovač/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/1997.0-Najbolje/2004.0-Najveći Hitovi Br. 2
zT3Xu5sD_1_9,Mišo Kovač,Mate Mišo Kovač,Budi covjek dobre volje,10153,"Svi smo mali ispod zvijezda
u pustinji zrna pijeska
sve nas nosi ista rijeka
i sudbina ista ceka

Zato svakom ruku pruzi
nikad nikog ne rastuzi
brzo prodju nam zivoti
nek' te pamte po dobroti
 
Ref.
Budi covjek dobre volje
zeli svakom sve najbolje
nek' ti srce mjera bude
za sve ljude, za sve ljude

Svima nama ljubav treba
treba kao milost s neba
budi covjek dobre volje
zeli svakom sve najbolje

Ref.","https://tekstovi.net/2,692,43212.html",,,,,,,,,,,['Mate Mišo Kovač'],1999 - Budi čovjek dobre volje,2005 - Mišo u Šibeniku - uživo,https://diskografija.com/pjesma/budi-covjek-dobre-volje-8744.htm,Budi čovjek dobre volje,,,,,,,,,,,,,,,,,,"Svi smo mali ispod zvijezda
U pustinji zrna pijeska
sve nas nosti ista rijeka
i sudbina ista čeka

Zato svakom ruku pruži
Nikad nikog ne rastuži
Brzo prođu nam životi
Nek te pamte po dobroti

Budi čovjek dobre volje
želi svakom sve najbolje
Nek ti srce mjera bude
Za sve ljude za sve ljude

Svima nama ljubav treba
treba kao milost s neba
Budi čovjek dobre volje
želi svakom sve najbolje",Budi čovjek dobre volje,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/budi-covjek-dobre-volje.html,Mišo Kovač,Budi Čovjek Dobre Volje,,,,Budi Čovjek Dobre Volje,,,nan-Budi Čovjek Dobre Volje/2005.0-Mišo U Šibeniku/2005.0-Mišo U Šibeniku/2005.0-Mišo U Šibeniku/2009.0-Jedan Dan Života - Live Collection/2012.0-100 Originalnih Hitova/nan-The Best Of Collection
zT3Xu5sD_1_10,Mišo Kovač,Mate Mišo Kovač,Cemu da zivim,23161,"Dan, samo jedan dan
samo taj je dan dijelio nas
taj dan, jedan kobni dan
u trenutku svemu je bilo kraj

A dom, prazan moj je dom
kao stranac sam tu zivim ja
moj svijet, tuzan moj je svijet
pusto sve je tu i zivot moj
 
Ref.
Cemu da zivim
kad tebe nema vise tu
i gdje da nadjem mir
kad sve si meni bila ti

Sam kada lutam ja
kada trazim mir vidim tvoj lik
i tada milujem ti kosu
trazim tvoju ruku, al' sve je san

Ref.","https://tekstovi.net/2,692,9018.html",,,,,,,,['Đorđe Novković'],['Đorđe Novković'],['Mato Došen'],['Mate Mišo Kovač'],1972 - Mišo Kovač,1975 - Najveći uspjesi 1,https://diskografija.com/pjesma/cemu-da-zivim-5443.htm,Čemu da živim,1985 - Ostala si uvijek ista,"2003 - Najveći hitovi
Aranžman: Stipica Kalogjera",2003 - Najdraže pjesme Miše Kovača,2004 - Zabavni megamix,2006 - The platinum collection,"2010 - Sve najbolje, originalne snimke",,,,,,,,,,,,"Dan, samo jedan dan
Samo taj je dan dijelio nas
Taj dan, jedan kobni dan
U trenutku svemu je bio kraj

A dom, prazan moj je dom
Kao stranac sam tu živim ja
Moj svijet, tužan moj je svijet
Pusto sve je tu i život moj

Čemu da živim
Kad tebe nema više tu
I gdje da nađem mir
Kad sve si meni bila ti

Sam kad lutam ja
Kad tražim mir, vidim tvoj lik
I tad milujem ti kosu
Tražim tvoju ruku, al sve je san",Čemu da živim,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cemu-da-zivim.html,Mišo Kovač,Čemu Da Živim,,,,Čemu Da Živim / A Kad Se Opet Tebi Vratim,,,nan-Čemu Da Živim / A Kad Se Opet Tebi Vratim/nan-Mišo Kovač/nan-Najveći Uspjesi 1./nan-Ostala Si Uvijek Ista/1987.0-Najljepše Pjesme 1/nan-Najljepše Pjesme/1997.0-Najbolje/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista/2003.0-Najveći Hitovi/nan-Najdraže Pjesme Miše Kovača/2006.0-The Platinum Collection/2010.0-Sve Najbolje/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
zT3Xu5sD_1_11,Mišo Kovač,Mate Mišo Kovač,Cuvajte mi pismu,234,"Otkad znan za sebe pisma mi je bila
nevista i mater moja dobra vila
licila mi dusu punu bolnih friza
s njon je bilo lakse durat´ ispo´ kriza

Ono sta san ´tija sve san pismon reka´
bila mi je blago drugo nisan steka´
dala mi je snagu otkrila lipotu
vracala me uvik svitlu i zivotu
 
Ref.
Kad mi jednon dusa medju zvizde krene
nemojte mi pismu ostavit´ da vene
cuvajte je, judi vama san je piva´
zivija san tugu, a o srici sniva´

Kad mi jednon dusa medju zvizde krene
cuvajte mi pismu pivajte za mene
nek´ je cuje more obala i skoji 
cuvajte mi pismu prijateji moji

Sad je zivot prosa´, prosla su sva lita
je li moglo boje sad, na kraju, pitan
nije moglo boje srce odgovara
jos je samo pisma jubav moja stara

Ref.

Nek´ je cuje more obala i skoji
cuvajte mi pismu prijateji moji
cuvajte mi pismu prijateji moji","https://tekstovi.net/2,692,64419.html",,,,,,,,,,,['Mate Mišo Kovač'],,,https://diskografija.com/pjesma/cuvajte-mi-pismu-8752.htm,Čuvajte mi pismu,,,,,,,,,,,,,,,,,,"Otkad znam za sebe
Pisma mi je bila
Nevista i mater moja dobra vila
Ličila mi dušu punu bolnih friža
S njom je bilo lakše durat ispod križa

Ono san tija sve san s pismon reka
Bila mi je blago drugo nisan steka
Dala mi je snagu otkrila lipotu
Vraćala me uvik svitlu i životu

Kad mi jednom duša među zvizde krenu
Nemojte mi pismu ostavit da vene
Čuvajte je ljudi vama san je piva
Živija san tugu a o srići sniva

Kad mi jednom duša među zvizde krenu
Čuvajte mi pismu pivajte za mene
Nek je čuje more,obala i škoji
Čuvajte mi pismu prijatelji moji

Sad je život proša prošla su sva lita
Je li moglo bolje sad na kraju pitam
Nije moglo bolje srce odgovora
Još je samo pisma ljubav moja stara",Čuvajte mi pismu,https://cuspajz.com//tekstovi-pjesama/pjesma/mate-miso-kovac/cuvajte-mi-pismu.html,Mišo Kovač,Čuvajte Mi Pismu,,,,Budi Čovjek Dobre Volje,,,nan-Budi Čovjek Dobre Volje
zT3Xu5sD_1_12,Mišo Kovač,Mate Mišo Kovač,Da je duzi moj dan,3694,"Da je duzi moj dan, moj dan

O, toliko tog da se ucini jos 
da se prozivi jos
znam, toliko tog
da je duzi moj dan, moj dan
 
Znam, toliko tog nisam pruzio jos
nisam shvatio sam
a znao bih to
da je duzi moj dan, moj dan

Jer od kad tebe znam
moj dan smo samo mi
svaki tren ispunjas ti, odnosis ti
da li itko sad cuje taj glas
sto moli za nas

O toliko tog nisam dao ti jos
nisam rekao, znam
dao bih sve
da je duzi moj dan, moj dan","https://tekstovi.net/2,692,47405.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mišo Kovač,Da Je Duži Moj Dan,2:50,Ivica Krajač,Michel Fugain,Ti Si Pjesma Moje Duše,1987.0,,1987.0-Ti Si Pjesma Moje Duše/nan-Rane Godine 1964-1969 / Ostala Si Uvijek Ista
zT3Xu5sD_1_13,Mišo Kovač,Mate Mišo Kovač,Da li je to ljubav prava,748,"Dao sam ti svoju mladost
sto ce kao sjena proci
dao sam ti cvijet iz bajke 
zrelu granu sto se njise
ali tebi nije dosta
ti bi htjela uvijek vise
 
Dao sam ti svoje ruke
sto su dugo bile same
dao sam ti svoja sunca
dao sam ti svoje kise
ali tebi nije dosta
ti bi htjela uvijek vise

Ref. 2x 

Ti se smijes tom djecaku
koji jos u meni spava
da li je to ljubav prava
da li je to ljubav prava

Dao sam ti svoje snove
ponavljao tvoje ime
dao sam ti kap sa dlana
gdje nam se sudbina pise
ali tebi nije dosta
ti bi htjela jos vise

Ref. 2x","https://tekstovi.net/2,692,62438.html",,,,,,,,['Đorđe Novković'],['Željko Sabol'],['Slobodan M. Kovačević'],['Mate Mišo Kovač'],1979 - Uvijek ima nešto dalje,2004 - Zabavni megamix,https://diskografija.com/pjesma/da-li-je-to-ljubav-prava-11642.htm,Da li je to ljubav prava,,,,,,,,,,,,,,,,,,,,,Mišo Kovač,Da Li Je To Ljubav Prava,4:18,,,Uvijek Ima Nešto Dalje,,,nan-Uvijek Ima Nešto Dalje/2012.0-100 Originalnih Hitova/2019.0-Original Album Collection – Vol. 1
zT3Xu5sD_1_14,Mišo Kovač,Mate Mišo Kovač,Da se dvaput vrate,4280,"Ref.
Da se dvaput vrate minute i sati
da jos jedan zivot pokloni mi mati
cini mi se, premalo bi bilo
jos bi se s vama pjevalo i pilo

Dobra vecer, prijatelji moji
dobra vecer, dobro dosli
puno vas je, al' tko vise broji
sve ono sto zajedno smo prosli
 
Dobra vecer, prijatelji moji
koliko smo docekali zora
puno ih je, al' tko vise broji
koliko smo preplivali mora

Ref. 2x","https://tekstovi.net/2,692,52923.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mišo Kovač,Da Se Dvaput Vrate,3:41,Nenad Ninčević,,"Dobra Večer, Prijatelji Moji...",2016.0,,"2016.0-Dobra Večer, Prijatelji Moji..."
